Area_Predominante,Numero_Autores,POP,TF-IDF,Qwen2.5-1.5B,Qwen2.5-3B,Qwen3-1.7B,Qwen3-4B,Qwen3.5-2B,Qwen3.5-4B,Melhor_Sistema,Melhor_nDCG@10
Ciencia da Computacao,133,0.2854894736842105,0.34097744360902255,0.3218248120300752,0.29211954887218045,0.32539924812030074,0.24771804511278195,0.30870075187969925,0.36095714285714287,Qwen3.5-4B,0.36095714285714287
Quimica,123,0.27511626016260166,0.31069756097560974,0.269860162601626,0.23978861788617886,0.32511626016260164,0.20427154471544715,0.24165934959349594,0.32723495934959346,Qwen3.5-4B,0.32723495934959346
Medicina,115,0.3326060869565217,0.39848,0.3344878260869565,0.30779478260869564,0.33542434782608693,0.24006521739130438,0.3254669565217391,0.40536347826086955,Qwen3.5-4B,0.40536347826086955
Fisica,106,0.3542481132075472,0.36287830188679243,0.36688962264150937,0.3399603773584906,0.39567735849056607,0.28407264150943395,0.28354339622641506,0.40899150943396223,Qwen3.5-4B,0.40899150943396223
Geociencias,80,0.3250725,0.3890775,0.31920875,0.32096874999999997,0.36513125,0.22506875,0.30441375000000004,0.37387625,TF-IDF,0.3890775
Bioquimica,80,0.36718125,0.3869975,0.26576374999999997,0.29515875,0.3298625,0.19623875,0.265245,0.3848725,TF-IDF,0.3869975
Engenharia Eletrica,59,0.2695610169491525,0.36138983050847456,0.327835593220339,0.27356610169491524,0.350064406779661,0.23993898305084746,0.2722966101694915,0.33121694915254235,TF-IDF,0.36138983050847456
Astronomia,53,0.3918867924528302,0.4345207547169811,0.3598830188679245,0.3011075471698113,0.3699811320754717,0.24886415094339623,0.33698301886792453,0.41125094339622636,TF-IDF,0.4345207547169811
Farmacia,52,0.27084423076923075,0.32750576923076924,0.2647057692307692,0.2931980769230769,0.3320461538461539,0.2850673076923077,0.2637980769230769,0.37223269230769235,Qwen3.5-4B,0.37223269230769235
Agronomia,45,0.3049488888888889,0.3314622222222222,0.3210222222222222,0.28377555555555556,0.3187977777777778,0.21751333333333334,0.2704755555555556,0.3776777777777778,Qwen3.5-4B,0.3776777777777778
