Area,Ano_Inicial,Ano_Final,Periodo_Anos,Publicacoes_Total,Publicacoes_Com_Ano,Publicacoes_Sem_Ano
Agronomia,1961,2015,55,20213,19470,743
Astronomia,1961,2015,55,7831,7774,57
Geociencias,1961,2015,55,20959,20507,452
Fisica,1963,2015,53,28882,28274,608
Medicina,1966,2015,50,50227,49050,1177
Quimica,1968,2015,48,44567,43535,1032
Engenharia Eletrica,1970,2015,46,8381,8301,80
Bioquimica,1970,2015,46,24247,23534,713
Ciencia da Computacao,1971,2015,45,22090,21829,261
Farmacia,1978,2015,38,14825,14599,226
