Autor,Total_Publicacoes,Porcentagem_Publicacoes
ID_9848311210578810,5454,1.1978967621206331
ID_4720283421615359,3660,0.8038691142943742
ID_3532765293459410,3404,0.7476422035677732
ID_1608166528142462,2490,0.5468945613642054
ID_5840732667923853,2222,0.48803201419729497
ID_5349557509612483,2195,0.48210183220659875
ID_6446047463034654,2195,0.48210183220659875
ID_8049184468038869,2091,0.4592596497239171
ID_5942068988379022,1940,0.4260945578500235
ID_3977660018939385,1827,0.40127564803710974
ID_8892459126928726,1802,0.39578473878646514
ID_3935055744673018,1780,0.39095273864589786
ID_1264299192805866,1761,0.38677964761540795
ID_8582867831317500,1747,0.38370473843504693
ID_3919711591553904,1655,0.36349819239267467
ID_0218004426204544,1596,0.35053964656115333
ID_0807993828734491,1581,0.34724510101076655
ID_1305553577433058,1570,0.3448291009404829
ID_0970789513843822,1548,0.3399971007999157
ID_9867636928092492,1520,0.33384728243919365
ID_0482551013400931,1504,0.3303331005187811
ID_7930540518087267,1464,0.3215476457177497
ID_6593457386037361,1443,0.3169352819472082
ID_7572366766177648,1438,0.31583710009707927
ID_0061106995455595,1435,0.3151781909870019
ID_7436135069574190,1377,0.30243928152550636
ID_2714004273523549,1373,0.30156073604540323
ID_6841118121493906,1366,0.3000232814552227
ID_6052239712915301,1353,0.2971680086448875
ID_3455204481678421,1318,0.289480735693985
ID_4702999283260777,1303,0.28618619014359825
ID_1050709055776428,1235,0.27125091698184484
ID_7109489698613515,1225,0.269054553281587
ID_0560039556461253,1207,0.26510109862112285
ID_0845421586641237,1197,0.262904734920865
ID_5486280310533660,1197,0.262904734920865
ID_4482652690766445,1195,0.26246546218081346
ID_8423282472108016,1178,0.2587316438903751
ID_0291695624884565,1177,0.2585120075203493
ID_0023950321397451,1169,0.25675491656014304
ID_3107924103069456,1141,0.25060509819942106
ID_2302429651674634,1133,0.24884800723921477
ID_6870958743124961,1132,0.24862837086918896
ID_1325247019367288,1121,0.24621237079890534
ID_5760422122697584,1121,0.24621237079890534
ID_0174325304693036,1100,0.24160000702836384
ID_9497366266156796,1098,0.24116073428831228
ID_8754335906813622,1083,0.23786618873792548
ID_1357061371579771,1066,0.23413237044748714
ID_0277415539607307,1044,0.22930037030691985
ID_8886217002903392,1044,0.22930037030691985
ID_2659526671827929,1033,0.2268843702366362
ID_0925726638062356,1031,0.22644509749658465
ID_3524890504250775,1017,0.22337018831622366
ID_3781815204303241,1016,0.22315055194619787
ID_6478091924064864,1013,0.22249164283612052
ID_8391182235603982,1007,0.2211738246159658
ID_8970751075617926,998,0.21919709728573375
ID_2747150211073176,992,0.21787927906557902
ID_5582765254731004,989,0.21722036995550167
ID_0426611082211389,987,0.2167810972154501
ID_4299344810509965,983,0.21590255173534695
ID_0762445046640965,977,0.21458473351519225
ID_0055080134892269,969,0.21282764255498596
ID_0914668307033301,954,0.20953309700459918
ID_6806722604010480,939,0.2062385514542124
ID_6723353746838236,933,0.20492073323405768
ID_5768000922241088,929,0.20404218775395455
ID_3729715298008025,912,0.2003083694635162
ID_5846645200230520,910,0.19986909672346465
ID_8401671962644482,904,0.19855127850330992
ID_8302605179522059,897,0.1970138239131294
ID_0223997495223283,891,0.1956960056929747
ID_1906784092048967,889,0.19525673295292315
ID_1684574356606924,888,0.19503709658289736
ID_7151870174700608,882,0.19371927836274264
ID_9362686215096702,882,0.19371927836274264
ID_8231471391500358,880,0.19328000562269107
ID_7034773971317045,879,0.1930603692526653
ID_4210289862552350,878,0.1928407328826395
ID_3832957669189657,877,0.19262109651261372
ID_0232075212409214,871,0.191303278292459
ID_7216933992248038,866,0.19020509644233008
ID_5317385915649516,864,0.1897658237022785
ID_2153506219894492,856,0.18800873274207222
ID_0916805360400109,848,0.18625164178186596
ID_0162059400153020,838,0.1840552780816081
ID_4175509016219914,835,0.18339636897153072
ID_4735276653354808,834,0.18317673260150494
ID_9264997837722900,829,0.18207855075137602
ID_2559066882962466,822,0.1805410961611955
ID_5662858299034942,822,0.1805410961611955
ID_0973550817356564,821,0.18032145979116973
ID_8730904907286096,819,0.17988218705111816
ID_0422319714962244,812,0.17834473246093768
ID_8546635518344761,811,0.1781250960909119
ID_8528934713225115,807,0.17724655061080874
ID_7796654028353519,803,0.1763680051307056
ID_8106459529828166,801,0.17592873239065404
ID_2774467864626548,800,0.17570909602062826
ID_8921922898103482,794,0.17439127780047353
ID_7441669258580942,793,0.17417164143044775
ID_2364470149264554,788,0.17307345958031883
ID_0422858064703713,788,0.17307345958031883
ID_4361220072322558,782,0.1717556413601641
ID_3537062520522134,771,0.16933964128988047
ID_6328263723211152,770,0.16912000491985468
ID_3296934538404596,769,0.1689003685498289
ID_1888879974374014,766,0.16824145943975155
