Area_Predominante,Numero_Autores
Ciencia da Computacao,133
Quimica,123
Medicina,115
Fisica,106
Geociencias,80
Bioquimica,80
Engenharia Eletrica,59
Astronomia,53
Farmacia,52
Agronomia,45
Ecologia,40
Genetica,33
Botanica,30
Matematica,28
Farmacologia,28
Engenharia de Materiais e Metalurgica,26
Saude Coletiva,26
Oceanografia,25
Fisiologia,25
Microbiologia,24
Imunologia,24
Zootecnia,19
Medicina Veterinaria,17
Morfologia,17
Engenharia Mecanica,15
Parasitologia,15
Engenharia Quimica,14
Sociologia,13
Engenharia Nuclear,12
Antropologia,12
Economia,12
Zoologia,12
Odontologia,12
Engenharia Agricola,11
Psicologia,10
