Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_0144465590218939;1;bone morphogenetic protein;protein kinase (rej);0.595;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;2;brain-derived neurotrophic factor;receptor tyrosine kinase (rej);0.274;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;3;cyclic AMP-dependent protein kinase;protein kinase (rej);0.719;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;4;cyclic amp-dependent protein kinase;protein kinase;0.801;2;match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;5;cyclic adenosine monophosphate;phosphatidylinositol (rej);0.495;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;6;diabetes mellitus type ii;insulin receptor (rej);0.642;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;7;dexamethasone;phosphatidylinositol (rej);0.621;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;8;endocrinology;postpartum glycemic homeostasis (rej);0.460;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;9;fat cell differentiation;obesity (rej);0.472;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;10;glucocorticoid;postpartum glycemic homeostasis (rej);0.506;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;11;hypothalamus;ovary of rats (rej);0.395;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;12;insulin receptor;insulin receptor;1.000;3;match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;13;insulin resistance;insulin receptor (rej);0.785;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;14;insulin receptor tyrosine kinase;receptor tyrosine kinase;0.891;2;match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;15;insulin receptor tyrosine kinase activation;receptor tyrosine kinase (rej);0.879;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;16;insulin receptor tyrosine kinase phosphorylation;tyrosine phosphorylation;0.811;2;match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;17;lactogenesis;early lactating rats (rej);0.593;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;18;lactation;early lactating rats (rej);0.615;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;19;neurotransmitter release;receptor tyrosine kinase (rej);0.427;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;20;pancreatic islet;pancreatic islet;1.000;3;match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;1;cultivar;solo cultivado;0.820;2;match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;2;cultivation;agriculture produce;0.805;2;match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;3;cultivos de morangueiro;pós-colheita da mangueira;0.834;3;match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;4;distribuição da concentração;distribuição da concentração;1.000;1;match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;5;economical irrigation system;irrigação;0.833;3;match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;6;entersafra;vazão em condutos (rej);0.456;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;7;fertilization;fertilizers in agriculture (rej);0.746;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;8;fertigation;fertigation management (rej);0.724;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;9;lambdas de irrigação;lâminas de irrigação;0.911;3;match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;10;mancha-de-pestalotiopsis;pós-colheita da mangueira (rej);0.593;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;11;morango;pós-colheita da mangueira (rej);0.720;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;12;nutritional status;present nutritional deficiency;0.827;1;match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;13;plant production;agriculture produce (rej);0.795;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;14;proteger as plantas;solo cultivado (rej);0.596;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;15;reducing solar radiation;reducing solar radiation;1.000;2;match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;16;solar radiation;incident solar radiation;0.898;3;match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;17;solar radiation reduction;low incident solar;0.760;3;match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;18;solar radiation shielding;reducing solar radiation (rej);0.823;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;19;solus;vazão em condutos (rej);0.625;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0170762259145267;20;sols sujeitos à exposição;causing groundwater (rej);0.580;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;1;head and neck squamous;cabeça e pescoço;0.856;3;match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;2;head and neck squamous cell;head and neck squamous cell carcinoma (rej);0.846;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;3;head and neck squamous cell carcinomas;head and neck squamous cell carcinoma;0.997;3;match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;4;immunohistochemistry;immunohistochemistry;1.000;2;match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;5;prognostic factors;prognostic factors;1.000;3;match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;6;squamous cell carcinoma;squamous cell carcinoma;1.000;2;match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;7;squamous cell carcinomas;squamous cell carcinoma (rej);0.995;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;8;squamous cell carcinogenesis;squamous cell carcinoma (rej);0.941;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;9;squamous cell carcinomas of head;câncer de cabeça;0.836;2;match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;10;tumor progression;primary tumor (rej);0.725;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;11;tumor recurrence;primary tumor (rej);0.686;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;12;tumor-suppressor genes;primary tumor (rej);0.553;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;13;adenoassociated viral vectors;immunohistochemistry (rej);0.400;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;14;brazilian minipigs;trunk (rej);0.383;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;15;bone marrow;osteosarcoma (rej);0.457;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;16;bone marrow-derived mesenchymal stem cells;oral squamous cell (rej);0.402;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;17;cell proliferation;squamous cell carcinoma (rej);0.548;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;18;dna methylation;methylation;0.944;3;match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;19;head and neck;head and neck;1.000;2;match válido;Qwen3-1.7B-QLoRA
ID_0174325304693036;20;molecular markers;co-expression of mct1 (rej);0.525;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;1;beta-cyclodextrin;β-cyclodextrin (rej);0.956;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;2;β-cyclodextrin;β-cyclodextrin;1.000;2;match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;3;cyclodextrins;cyclodextrin;0.985;3;match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;4;intramolecular catalysis;intramolecular catalysis;1.000;3;match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;5;kinetics;kinetics;1.000;3;match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;6;metal ions;metal ions;1.000;3;match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;7;nitrosation;metal ions (rej);0.399;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;8;nitrosation of amines;phosphorothioate triesters (rej);0.434;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;9;nitrosation reaction;structure and reactivity (rej);0.479;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;10;nitrosation reactions;structure and reactivity (rej);0.496;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;11;nitrosation studies;metal ions (rej);0.426;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;12;phosphate;phosphate;1.000;1;match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;13;phosphate diester;phosphate (rej);0.903;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;14;phosphate esters;phosphate (rej);0.965;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;15;reaction of hydroxylamine;hydrolysis (rej);0.691;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;16;sodium hydroxide;hydrolysis (rej);0.706;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;17;sulfoxonium;sulfonyl;0.879;2;match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;18;thionyl chloride;β-cyclodextrin (rej);0.607;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;19;transition states;transition state;0.948;3;match válido;Qwen3-1.7B-QLoRA
ID_0228970585981305;20;vaporization;solvent effect (rej);0.580;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;1;blood flukes;tegument (rej);0.315;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;2;blood flukes schistosoma;schistosoma;0.814;3;match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;3;blood flukes schistosoma mansoni;schistosoma mansoni (rej);0.859;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;4;blood flukes schistosoma mansoni genome;schistosoma mansoni tnf-alpha (rej);0.833;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;5;genome sequencing;genome;0.916;2;match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;6;genomic resources;genome (rej);0.821;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;7;human blood fluke schistosoma;human parasite schistosoma;0.785;3;match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;8;human blood flukes;human (rej);0.355;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;9;human blood flukes schistosoma;stages of schistosoma;0.751;3;match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;10;human blood flukes schistosoma mansoni;schistosoma mansoni (rej);0.798;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;11;human blood flukes schistosoma mansoni genome project;schistosoma mansoni tnf-alpha (rej);0.767;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;12;human blood flukes schistosoma mansoni transcriptome;schistosoma mansoni tnf-alpha (rej);0.795;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;13;molecular biology;protein variation (rej);0.608;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;14;schistosoma mansoni;schistosoma mansoni;1.000;3;match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;15;schistosoma mansoni genome;schistosoma mansoni tnf-alpha;0.875;2;match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;16;schistosoma mansoni genome sequencing;schistosoma mansoni tnf-alpha (rej);0.828;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;17;schistosoma mansoni genome sequencing projects;schistosoma mansoni tnf-alpha (rej);0.804;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;18;schistosoma mansoni proteomics;schistosome proteomic research (rej);0.896;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0229339143607870;19;schistosoma proteomics;schistosome proteomic research;0.972;3;match válido;Qwen3-1.7B-QLoRA
