Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_0144465590218939;0.0439;0.1700;0.2000;0.1000;0.2500;0.0500;0.0500;0.2500;0.0125;0.0364;0.6950;0.0565;0.2818;0.6734;1;5;Qwen3-1.7B-QLoRA
ID_0170762259145267;0.4288;0.3663;0.8000;0.5000;0.4000;0.0930;0.1163;0.1860;0.1013;0.2941;0.5474;0.1317;0.3431;0.6275;6;10;Qwen3-1.7B-QLoRA
ID_0174325304693036;0.5179;0.4131;0.8000;0.6000;0.4000;0.0833;0.1250;0.1667;0.0983;0.2418;0.4872;0.1151;0.2536;0.6537;6;8;Qwen3-1.7B-QLoRA
ID_0228970585981305;0.4279;0.4127;0.8000;0.5000;0.3500;0.2000;0.2500;0.3500;0.1775;0.3152;0.5674;0.2136;0.4946;0.6102;5;8;Qwen3-1.7B-QLoRA
ID_0229339143607870;0.3150;0.2877;0.4000;0.4000;0.3500;0.0571;0.1143;0.2000;0.0507;0.3109;0.4500;0.0828;0.4790;0.4621;4;7;Qwen3-1.7B-QLoRA
ID_0277415539607307;0.6332;0.4750;0.8000;0.5000;0.3500;0.1212;0.1515;0.2121;0.1402;0.2452;0.6913;0.1614;0.3190;0.6481;5;7;Qwen3-1.7B-QLoRA
ID_0291695624884565;0.4284;0.4296;0.4000;0.3000;0.3500;0.0408;0.0612;0.1429;0.0485;0.1733;0.4620;0.0811;0.2353;0.6576;3;8;Qwen3-1.7B-QLoRA
ID_0306964533388350;0.1577;0.1686;0.0000;0.2000;0.1500;0.0000;0.1000;0.1500;0.0183;0.3778;0.5468;0.0299;0.4000;0.5967;3;6;Qwen3-1.7B-QLoRA
ID_0321740024191482;0.1635;0.1304;0.4000;0.3000;0.1500;0.0645;0.0968;0.0968;0.0366;0.2067;0.5742;0.0366;0.2188;0.6312;3;3;Qwen3-1.7B-QLoRA
ID_0353944603330456;0.1729;0.1600;0.6000;0.3000;0.2500;0.0517;0.0517;0.0862;0.0247;0.6154;0.5980;0.0336;0.6187;0.6123;3;5;Qwen3-1.7B-QLoRA
ID_0422858064703713;0.2083;0.2088;0.2000;0.2000;0.2000;0.0286;0.0571;0.1143;0.0214;0.2665;0.5982;0.0364;0.3096;0.6592;2;4;Qwen3-1.7B-QLoRA
ID_0433763336350310;0.5518;0.4370;0.6000;0.5000;0.4000;0.1034;0.1724;0.2759;0.1200;0.1320;0.5340;0.1601;0.2324;0.7460;5;8;Qwen3-1.7B-QLoRA
ID_0521334155968808;0.5256;0.4959;0.8000;0.5000;0.4000;0.1667;0.2083;0.3333;0.1687;0.5893;0.4756;0.2305;0.5893;0.5782;5;8;Qwen3-1.7B-QLoRA
ID_0535860239259102;0.3131;0.3200;0.6000;0.4000;0.3500;0.1304;0.1739;0.3043;0.1082;0.3364;0.5773;0.1499;0.3458;0.6343;5;10;Qwen3-1.7B-QLoRA
ID_0544144585124313;0.5946;0.5367;0.8000;0.6000;0.5500;0.0889;0.1333;0.2444;0.1241;0.5408;0.6262;0.1857;0.6306;0.6544;6;11;Qwen3-1.7B-QLoRA
ID_0577007377836185;0.3070;0.3920;0.4000;0.3000;0.4500;0.0526;0.0789;0.2368;0.0376;0.2340;0.5961;0.1028;0.4894;0.7403;3;9;Qwen3-1.7B-QLoRA
ID_0588546982625730;0.7116;0.6421;0.8000;0.6000;0.5500;0.0952;0.1429;0.2619;0.1329;0.3669;0.7015;0.2030;0.3928;0.7141;6;12;Qwen3-1.7B-QLoRA
ID_0654596992211296;0.5085;0.4010;0.4000;0.5000;0.3500;0.0690;0.1724;0.2414;0.0956;0.2905;0.7118;0.1276;0.3073;0.7345;5;7;Qwen3-1.7B-QLoRA
ID_0848413770343284;0.1100;0.1106;0.2000;0.1000;0.1000;0.0435;0.0435;0.0870;0.0145;0.0498;0.1998;0.0224;0.0747;0.4276;1;2;Qwen3-1.7B-QLoRA
ID_0915732258069388;0.5128;0.4017;0.6000;0.4000;0.2000;0.1579;0.2105;0.2105;0.1243;0.1547;0.4300;0.1243;0.1589;0.5406;4;4;Qwen3-1.7B-QLoRA
ID_0932673194762377;0.0784;0.0506;0.0000;0.1000;0.0500;0.0000;0.0200;0.0200;0.0033;0.1211;0.1899;0.0033;0.1273;0.2149;1;1;Qwen3-1.7B-QLoRA
ID_0967035318418472;0.1060;0.2506;0.2000;0.1000;0.3000;0.0227;0.0227;0.1364;0.0057;0.0877;0.6215;0.0367;0.1498;0.6634;2;7;Qwen3-1.7B-QLoRA
ID_0990344839864230;0.0186;0.2886;0.0000;0.0000;0.3000;0.0000;0.0000;0.4286;0.0000;0.0591;0.6634;0.0852;0.3118;0.6977;1;8;Qwen3-1.7B-QLoRA
ID_1041565102315246;0.3058;0.3507;0.2000;0.4000;0.4500;0.0370;0.1481;0.3333;0.0781;0.3667;0.6353;0.1583;0.5333;0.5530;4;9;Qwen3-1.7B-QLoRA
ID_1050516524103988;0.5474;0.4916;0.6000;0.4000;0.3000;0.1364;0.1818;0.2727;0.1667;0.3951;0.5738;0.1999;0.5317;0.6497;4;6;Qwen3-1.7B-QLoRA
ID_1066462335621573;0.7257;0.4683;1.0000;0.6000;0.3000;0.1429;0.1714;0.1714;0.1619;0.6491;0.3269;0.1619;0.6579;0.3429;7;7;Qwen3-1.7B-QLoRA
ID_1122362218673413;0.3183;0.3542;0.6000;0.3000;0.3500;0.0789;0.0789;0.1842;0.0684;0.2836;0.5766;0.1117;0.2836;0.5999;3;7;Qwen3-1.7B-QLoRA
ID_1138639549823932;0.2201;0.2167;0.2000;0.1000;0.2000;0.0250;0.0250;0.1000;0.0250;0.3587;0.5157;0.0376;0.5109;0.7111;1;4;Qwen3-1.7B-QLoRA
ID_1177407730126204;0.1236;0.1484;0.2000;0.1000;0.2000;0.0333;0.0333;0.1333;0.0111;0.4356;0.7112;0.0294;0.5153;0.6635;2;5;Qwen3-1.7B-QLoRA
ID_1218389465274602;0.1389;0.2054;0.2000;0.1000;0.1500;0.0833;0.0833;0.2500;0.0833;0.4699;0.7460;0.1119;0.4940;0.7517;2;7;Qwen3-1.7B-QLoRA
ID_1224532648969159;0.6434;0.5291;0.6000;0.6000;0.4500;0.0789;0.1579;0.2368;0.1120;0.4523;0.6679;0.1507;0.5100;0.6884;6;11;Qwen3-1.7B-QLoRA
ID_1234565160573730;0.3616;0.3730;0.2000;0.2000;0.1500;0.0833;0.1667;0.2500;0.1042;0.3352;0.6462;0.1181;0.4034;0.7269;3;4;Qwen3-1.7B-QLoRA
ID_1272997735344283;0.3839;0.5320;0.4000;0.3000;0.3000;0.1818;0.2727;0.5455;0.2091;0.2462;0.7033;0.3038;0.5231;0.7088;3;6;Qwen3-1.7B-QLoRA
ID_1290711673273506;0.3360;0.2771;0.4000;0.4000;0.2000;0.0870;0.1739;0.1739;0.0773;0.4762;0.7220;0.0773;0.4815;0.6843;5;6;Qwen3-1.7B-QLoRA
ID_1305553577433058;0.3873;0.2854;0.6000;0.5000;0.3000;0.0577;0.0962;0.1154;0.0556;0.0503;0.5177;0.0633;0.1045;0.6761;5;6;Qwen3-1.7B-QLoRA
ID_1351748125964309;0.1885;0.1661;0.4000;0.2000;0.1500;0.0800;0.0800;0.1200;0.0260;0.1729;0.5160;0.0340;0.2336;0.6271;2;3;Qwen3-1.7B-QLoRA
ID_1364246301366731;0.0789;0.0666;0.2000;0.2000;0.1000;0.0588;0.1176;0.1176;0.0278;0.2786;0.6523;0.0278;0.3064;0.6455;3;3;Qwen3-1.7B-QLoRA
ID_1387531666012807;0.5518;0.4068;0.6000;0.5000;0.3500;0.1034;0.1724;0.2414;0.1200;0.2992;0.7480;0.1482;0.3071;0.7057;5;7;Qwen3-1.7B-QLoRA
ID_1511271976880714;0.3348;0.2952;0.4000;0.4000;0.2500;0.0556;0.1111;0.1389;0.0446;0.2417;0.6868;0.0528;0.2583;0.7214;4;6;Qwen3-1.7B-QLoRA
ID_1602277501575415;0.2201;0.1571;0.2000;0.1000;0.0500;0.0333;0.0333;0.0333;0.0333;0.1667;0.5972;0.0333;0.2284;0.6668;1;1;Qwen3-1.7B-QLoRA
ID_1612969183171944;0.1140;0.1023;0.0000;0.1000;0.0500;0.0000;0.0588;0.0588;0.0059;0.1208;0.6766;0.0059;0.1283;0.7168;3;4;Qwen3-1.7B-QLoRA
ID_1661480072159875;0.4787;0.5643;0.6000;0.5000;0.6000;0.1000;0.1667;0.4000;0.0996;0.5952;0.5721;0.2466;0.7619;0.5980;5;12;Qwen3-1.7B-QLoRA
ID_1686212165863890;0.2577;0.3707;0.6000;0.3000;0.4500;0.0938;0.0938;0.2812;0.0859;0.0862;0.6372;0.1658;0.2231;0.6743;4;10;Qwen3-1.7B-QLoRA
ID_1708237858198821;0.1040;0.1152;0.2000;0.3000;0.2000;0.0357;0.1071;0.1429;0.0342;0.2446;0.7315;0.0414;0.3885;0.7493;3;4;Qwen3-1.7B-QLoRA
ID_1717412318563908;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0030;0.6948;0.0000;0.0091;0.7058;0;0;Qwen3-1.7B-QLoRA
ID_1741102469161036;0.1123;0.1283;0.2000;0.1000;0.0500;0.1000;0.1000;0.1000;0.0250;0.0323;0.5658;0.0250;0.0645;0.7004;1;4;Qwen3-1.7B-QLoRA
