Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_0530966378411625;1;acetylcholine;acetylcholine;1.000;3;match válido;POP
ID_0530966378411625;2;neuromuscular;neuromuscular junction (rej);0.895;0;sem match válido;POP
ID_0530966378411625;3;mice;vacht mutant mice;0.807;3;match válido;POP
ID_0530966378411625;4;vacht;vacht mutant mice (rej);0.490;0;sem match válido;POP
ID_0530966378411625;5;lectin;triquetrum lectin induces;0.759;2;match válido;POP
ID_0530966378411625;6;release;synaptic vesicle release (rej);0.349;0;sem match válido;POP
ID_0530966378411625;7;effects;effects of anethole (rej);0.667;0;sem match válido;POP
ID_0530966378411625;8;nbsp;ileum (rej);0.542;0;sem match válido;POP
ID_0530966378411625;9;lectina;triquetrum lectin induces (rej);0.727;0;sem match válido;POP
ID_0530966378411625;10;effect;effects of anethole (rej);0.633;0;sem match válido;POP
ID_0530966378411625;11;synaptic;synaptic vesicle;0.856;3;match válido;POP
ID_0530966378411625;12;aldosterone;acetylcholine (rej);0.636;0;sem match válido;POP
ID_0530966378411625;13;aorta;rat aorta;0.866;1;match válido;POP
ID_0530966378411625;14;transporter;solução de perfusão (rej);0.485;0;sem match válido;POP
ID_0530966378411625;15;ang;ileum (rej);0.623;0;sem match válido;POP
ID_0530966378411625;16;expression;expression;1.000;1;match válido;POP
ID_0530966378411625;17;junction;neuromuscular junction (rej);0.556;0;sem match válido;POP
ID_0530966378411625;18;liso;ileum;0.755;1;match válido;POP
ID_0530966378411625;19;neuromuscular junction;neuromuscular junction;1.000;3;match válido;POP
ID_0530966378411625;20;font;ileum (rej);0.640;0;sem match válido;POP
ID_0535860239259102;1;forest;forest;1.000;2;match válido;POP
ID_0535860239259102;2;season;seasonal variations (rej);0.687;0;sem match válido;POP
ID_0535860239259102;3;dry;dry season (rej);0.731;0;sem match válido;POP
ID_0535860239259102;4;dry season;dry season;1.000;1;match válido;POP
ID_0535860239259102;5;soil;soil moisture;0.793;1;match válido;POP
ID_0535860239259102;6;amazonia;amazonia;1.000;2;match válido;POP
ID_0535860239259102;7;fluxes;water fluxes;0.798;2;match válido;POP
ID_0535860239259102;8;flux;water fluxes (rej);0.764;0;sem match válido;POP
ID_0535860239259102;9;amazon;amazon;1.000;2;match válido;POP
ID_0535860239259102;10;carbon;measurements of carbon;0.854;2;match válido;POP
ID_0535860239259102;11;co;eddy covariance (rej);0.477;0;sem match válido;POP
ID_0535860239259102;12;surface;surface layer;0.861;1;match válido;POP
ID_0535860239259102;13;fluxos;water fluxes (rej);0.795;0;sem match válido;POP
ID_0535860239259102;14;tropical;tropical south;0.874;1;match válido;POP
ID_0535860239259102;15;wet;wet season;0.783;1;match válido;POP
ID_0535860239259102;16;water;water fluxes (rej);0.694;0;sem match válido;POP
ID_0535860239259102;17;amazonian;amazonian forest;0.829;2;match válido;POP
ID_0535860239259102;18;floresta;tropical forest;0.790;2;match válido;POP
ID_0535860239259102;19;seasonal;seasonal variations;0.912;2;match válido;POP
ID_0535860239259102;20;sites;amazon (rej);0.391;0;sem match válido;POP
ID_0578253829444920;1;brasiliensis;paracoccidioides brasiliensis (rej);0.444;0;sem match válido;POP
ID_0578253829444920;2;phage;phage display library (rej);0.694;0;sem match válido;POP
ID_0578253829444920;3;anti;est sequences (rej);0.547;0;sem match válido;POP
ID_0578253829444920;4;antibody;recombinant antibody (rej);0.797;0;sem match válido;POP
ID_0578253829444920;5;anticorpos;recombinant antibody (rej);0.776;0;sem match válido;POP
ID_0578253829444920;6;phage display;fab phage display;0.856;3;match válido;POP
ID_0578253829444920;7;expression;expression;1.000;2;match válido;POP
ID_0578253829444920;8;display;fab phage display (rej);0.643;0;sem match válido;POP
ID_0578253829444920;9;human;expression (rej);0.355;0;sem match válido;POP
ID_0578253829444920;10;scfv;southern blot (rej);0.387;0;sem match válido;POP
ID_0578253829444920;11;cells;recombinant antibody fragments (rej);0.485;0;sem match válido;POP
ID_0578253829444920;12;recombinant;recombinant antibody (rej);0.676;0;sem match válido;POP
ID_0578253829444920;13;cell;transcriptome (rej);0.395;0;sem match válido;POP
ID_0578253829444920;14;protein;venom peptides (rej);0.533;0;sem match válido;POP
ID_0578253829444920;15;dna;est sequences (rej);0.642;0;sem match válido;POP
ID_0578253829444920;16;paracoccidioides;pathogenic fungus paracoccidiodes;0.835;2;match válido;POP
ID_0578253829444920;17;paracoccidioides brasiliensis;paracoccidioides brasiliensis;1.000;2;match válido;POP
ID_0578253829444920;18;recombinantes;recombinant antibody (rej);0.681;0;sem match válido;POP
ID_0578253829444920;19;anticorpos recombinantes;recombinant antibody;0.974;3;match válido;POP
ID_0578253829444920;20;gene;gene expression;0.863;2;match válido;POP
ID_0676101131499422;1;scarabaeidae;scarabaeidae;1.000;3;match válido;POP
ID_0676101131499422;2;biodiversidade;biodiversity;0.997;2;match válido;POP
ID_0676101131499422;3;coleoptera;coleoptera;1.000;3;match válido;POP
ID_0676101131499422;4;species;species;1.000;1;match válido;POP
ID_0676101131499422;5;bosta;scarabaeoidea (rej);0.511;0;sem match válido;POP
ID_0676101131499422;6;rola bosta;scarabaeoidea (rej);0.678;0;sem match válido;POP
ID_0676101131499422;7;scarabaeinae;scarabaeoidea (rej);0.922;0;sem match válido;POP
ID_0676101131499422;8;forest;forest fragments;0.821;1;match válido;POP
ID_0676101131499422;9;habitat;biodiversity (rej);0.691;0;sem match válido;POP
ID_0676101131499422;10;taxonomia;species composition;0.801;1;match válido;POP
ID_0676101131499422;11;coleoptera scarabaeidae;coleoptera (rej);0.938;0;sem match válido;POP
ID_0676101131499422;12;dung;dung beetles (rej);0.664;0;sem match válido;POP
ID_0676101131499422;13;rola;scarabaeoidea (rej);0.723;0;sem match válido;POP
ID_0676101131499422;14;faunistica;species (rej);0.872;0;sem match válido;POP
ID_0676101131499422;15;beetles;dung beetles;0.907;3;match válido;POP
ID_0676101131499422;16;insecta;coleoptera (rej);0.755;0;sem match válido;POP
ID_0676101131499422;17;beetle;dung beetle;0.911;3;match válido;POP
ID_0676101131499422;18;scarabaeoidea;scarabaeoidea;1.000;3;match válido;POP
ID_0676101131499422;19;besouros;scarabaeidae (rej);0.816;0;sem match válido;POP
ID_0676101131499422;20;scarabaeidae scarabaeinae;scarabaeidae (rej);0.957;0;sem match válido;POP
ID_5393628668007180;1;gene;chromosome (rej);0.664;0;sem match válido;POP
ID_5393628668007180;2;sindrome;fragile x syndrome;0.752;3;match válido;POP
ID_5393628668007180;3;patients;robinow syndrome (rej);0.454;0;sem match válido;POP
ID_5393628668007180;4;syndrome;robinow syndrome;0.775;3;match válido;POP
ID_5393628668007180;5;fragile;fragile x;0.822;3;match válido;POP
ID_5393628668007180;6;chromosome;chromosome;1.000;2;match válido;POP
ID_5393628668007180;7;mental;mental retardation (rej);0.666;0;sem match válido;POP
ID_5393628668007180;8;cgg;array-cgh (rej);0.558;0;sem match válido;POP
ID_5393628668007180;9;fragil;fragile x (rej);0.768;0;sem match válido;POP
ID_5393628668007180;10;fmr;fragile x frequency (rej);0.456;0;sem match válido;POP
ID_5393628668007180;11;clinical;robinow syndrome (rej);0.426;0;sem match válido;POP
ID_5393628668007180;12;repeats;fragile x premutation (rej);0.276;0;sem match válido;POP
ID_5393628668007180;13;normal;fragile x (rej);0.350;0;sem match válido;POP
ID_5393628668007180;14;retardation;x-linked mental retardation;0.774;3;match válido;POP
ID_5393628668007180;15;array;array-cgh (rej);0.698;0;sem match válido;POP
ID_5393628668007180;16;mental retardation;mental retardation;1.000;3;match válido;POP
ID_5393628668007180;17;fish;ubiquitin proteasome (rej);0.198;0;sem match válido;POP
ID_5393628668007180;18;alleles;full mutation (rej);0.495;0;sem match válido;POP
ID_5393628668007180;19;analysis;fragile x premutation (rej);0.395;0;sem match válido;POP
ID_5393628668007180;20;cgh;array-cgh (rej);0.619;0;sem match válido;POP
ID_4290808161139329;1;avaliacao;evaluate analytical procedures (rej);0.684;0;sem match válido;POP
ID_4290808161139329;2;extract;aqueous extractives (rej);0.598;0;sem match válido;POP
ID_4290808161139329;3;extrato;pseudo-ternary diagram (rej);0.470;0;sem match válido;POP
ID_4290808161139329;4;bauhinia;leaves of bauhinia;0.791;1;match válido;POP
ID_4290808161139329;5;totais;pseudo-ternary diagram (rej);0.404;0;sem match válido;POP
ID_4290808161139329;6;niruri;phyllanthus niruri (rej);0.597;0;sem match válido;POP
ID_4290808161139329;7;phyllanthus;extracts of phyllanthus;0.872;2;match válido;POP
ID_4290808161139329;8;phyllanthus niruri;phyllanthus niruri;1.000;1;match válido;POP
ID_4290808161139329;9;seco;stationary cuvette (rej);0.451;0;sem match válido;POP
ID_4290808161139329;10;taninos;bauhinia monandra (rej);0.470;0;sem match válido;POP
ID_4290808161139329;11;flavonoides;herbal drugs (rej);0.458;0;sem match válido;POP
ID_4290808161139329;12;study;evaluate analytical procedures (rej);0.504;0;sem match válido;POP
ID_4290808161139329;13;effects;response surface (rej);0.470;0;sem match válido;POP
ID_4290808161139329;14;extrato seco;aqueous extractives (rej);0.568;0;sem match válido;POP
ID_4290808161139329;15;spray;spraydried extracts (rej);0.781;0;sem match válido;POP
ID_4290808161139329;16;spray dried;spraydried extracts;0.795;3;match válido;POP
ID_4290808161139329;17;desenvolvimento;development and validation;0.788;3;match válido;POP
ID_4290808161139329;18;monandra;bauhinia monandra (rej);0.668;0;sem match válido;POP
ID_4290808161139329;19;analysis;evaluate analytical procedures;0.788;3;match válido;POP
ID_4290808161139329;20;bauhinia monandra;bauhinia monandra;1.000;1;match válido;POP
ID_3296934538404596;1;films;thin films (rej);0.751;0;sem match válido;POP
ID_3296934538404596;2;surface;surface;1.000;3;match válido;POP
ID_3296934538404596;3;xps;cu (rej);0.639;0;sem match válido;POP
ID_3296934538404596;4;thin;thin films (rej);0.685;0;sem match válido;POP
ID_3296934538404596;5;ray;x-ray methods (rej);0.525;0;sem match válido;POP
