Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_0530966378411625;1;vacht;vacht mutant mice (rej);0.490;0;sem match válido;TF-IDF
ID_0530966378411625;2;neuromuscular;neuromuscular junction (rej);0.895;0;sem match válido;TF-IDF
ID_0530966378411625;3;neuromuscular junction;neuromuscular junction;1.000;3;match válido;TF-IDF
ID_0530966378411625;4;aldosterone;acetylcholine (rej);0.636;0;sem match válido;TF-IDF
ID_0530966378411625;5;bryothamnion;ileum (rej);0.665;0;sem match válido;TF-IDF
ID_0530966378411625;6;acetylcholine;acetylcholine;1.000;3;match válido;TF-IDF
ID_0530966378411625;7;lectina;triquetrum lectin induces (rej);0.727;0;sem match válido;TF-IDF
ID_0530966378411625;8;vesicular acetylcholine;vesicular acetylcholine;1.000;2;match válido;TF-IDF
ID_0530966378411625;9;ang;ileum (rej);0.623;0;sem match válido;TF-IDF
ID_0530966378411625;10;eoog;ileum (rej);0.521;0;sem match válido;TF-IDF
ID_0530966378411625;11;liso;ileum;0.755;1;match válido;TF-IDF
ID_0530966378411625;12;triquetrum;ileum (rej);0.646;0;sem match válido;TF-IDF
ID_0530966378411625;13;acetylcholine transporter;acetylcholine (rej);0.803;0;sem match válido;TF-IDF
ID_0530966378411625;14;liso vascular;rat aorta (rej);0.703;0;sem match válido;TF-IDF
ID_0530966378411625;15;lectin;triquetrum lectin induces;0.759;2;match válido;TF-IDF
ID_0530966378411625;16;vesicular acetylcholine transporter;vesicular acetylcholine transporter;1.000;3;match válido;TF-IDF
ID_0530966378411625;17;btl;ileum (rej);0.538;0;sem match válido;TF-IDF
ID_0530966378411625;18;mentha pulegium;ileum (rej);0.541;0;sem match válido;TF-IDF
ID_0530966378411625;19;pulegium;ileum (rej);0.698;0;sem match válido;TF-IDF
ID_0530966378411625;20;anethole;effects of anethole;0.801;1;match válido;TF-IDF
ID_0535860239259102;1;forest;forest;1.000;2;match válido;TF-IDF
ID_0535860239259102;2;season;seasonal variations (rej);0.687;0;sem match válido;TF-IDF
ID_0535860239259102;3;dry season;dry season;1.000;1;match válido;TF-IDF
ID_0535860239259102;4;fluxes;water fluxes;0.798;2;match válido;TF-IDF
ID_0535860239259102;5;evapotranspiration;evapotranspiration;1.000;2;match válido;TF-IDF
ID_0535860239259102;6;fluxos;water fluxes (rej);0.795;0;sem match válido;TF-IDF
ID_0535860239259102;7;dry;dry season (rej);0.731;0;sem match válido;TF-IDF
ID_0535860239259102;8;amazonia;amazonia;1.000;2;match válido;TF-IDF
ID_0535860239259102;9;soil;soil moisture (rej);0.793;0;sem match válido;TF-IDF
ID_0535860239259102;10;flux;water fluxes (rej);0.764;0;sem match válido;TF-IDF
