Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_0530966378411625;0.2182;0.2452;0.2000;0.3000;0.2500;0.0400;0.1200;0.2000;0.0417;0.5556;0.6762;0.0648;0.7037;0.6488;3;7;TF-IDF
ID_0535860239259102;0.2570;0.2871;0.6000;0.4000;0.3500;0.1304;0.1739;0.3043;0.1130;0.7290;0.6486;0.1641;0.8411;0.6331;5;11;TF-IDF
ID_0578253829444920;0.2620;0.2847;0.4000;0.3000;0.3000;0.0800;0.1200;0.2400;0.0533;0.7164;0.7065;0.0974;0.7855;0.6937;3;6;TF-IDF
ID_0676101131499422;0.4773;0.5276;0.4000;0.4000;0.3500;0.1176;0.2353;0.4118;0.1337;0.9186;0.4897;0.1957;0.9251;0.4555;4;9;TF-IDF
ID_5393628668007180;0.2167;0.2813;0.2000;0.3000;0.3000;0.0500;0.1500;0.3000;0.0483;0.6481;0.6782;0.1002;0.7013;0.6781;4;7;TF-IDF
ID_4290808161139329;0.1536;0.1073;0.2000;0.2000;0.1000;0.0476;0.0952;0.0952;0.0254;0.3036;0.5993;0.0254;0.4628;0.5655;5;5;TF-IDF
ID_3296934538404596;0.0851;0.0788;0.2000;0.1000;0.0500;0.0476;0.0476;0.0476;0.0095;0.6008;0.5692;0.0095;0.7048;0.6110;1;3;TF-IDF
ID_6231675319360093;0.2669;0.2669;0.2000;0.2000;0.1000;0.2000;0.4000;0.4000;0.1167;0.8731;0.5742;0.1167;0.9038;0.5815;2;2;TF-IDF
ID_0174325304693036;0.3445;0.3950;0.6000;0.4000;0.4500;0.0625;0.0833;0.1875;0.0634;0.6809;0.5405;0.1150;0.7727;0.6344;4;9;TF-IDF
ID_0189095897739979;0.5677;0.5099;0.6000;0.7000;0.5500;0.0882;0.2059;0.3235;0.1203;0.6508;0.6040;0.1963;0.6627;0.5737;7;11;TF-IDF
ID_0229339143607870;0.3548;0.3794;0.6000;0.4000;0.5000;0.0857;0.1143;0.2857;0.0648;0.8319;0.6119;0.1479;0.8319;0.6047;4;10;TF-IDF
ID_0278717765065500;0.1405;0.1898;0.4000;0.2000;0.2000;0.0909;0.0909;0.1818;0.0455;0.6896;0.6831;0.0659;0.7506;0.6964;3;6;TF-IDF
ID_0482551013400931;0.5987;0.5211;0.8000;0.8000;0.6500;0.0784;0.1569;0.2549;0.1337;0.7407;0.5653;0.2002;0.8371;0.6036;8;13;TF-IDF
ID_0486569206159968;0.2533;0.2860;0.4000;0.3000;0.3500;0.0556;0.0833;0.1944;0.0300;0.8631;0.5635;0.0688;0.8921;0.5537;3;7;TF-IDF
ID_0509655225224036;0.4031;0.4200;0.4000;0.4000;0.3000;0.0909;0.1818;0.2727;0.1009;0.6813;0.7180;0.1393;0.7637;0.7182;4;6;TF-IDF
ID_0516941410000104;0.3052;0.4191;0.2000;0.2000;0.3000;0.0625;0.1250;0.3750;0.0781;0.7200;0.5780;0.1548;0.8000;0.5977;3;8;TF-IDF
ID_7710344461864924;0.0365;0.1239;0.2000;0.1000;0.2000;0.0200;0.0200;0.0800;0.0040;0.4407;0.4987;0.0139;0.5805;0.5201;1;4;TF-IDF
ID_1840336983035010;0.1463;0.1881;0.2000;0.2000;0.2500;0.0385;0.0769;0.1923;0.0173;0.6210;0.5843;0.0454;0.7661;0.5982;3;8;TF-IDF
ID_3051627641386529;0.5886;0.6004;0.4000;0.5000;0.3500;0.1667;0.4167;0.5833;0.2533;0.5319;0.5589;0.3274;0.6292;0.5930;5;7;TF-IDF
ID_0218004426204544;0.7837;0.6961;0.6000;0.8000;0.7000;0.0833;0.2222;0.3889;0.1864;0.7718;0.5371;0.3042;0.8213;0.5649;8;14;TF-IDF
ID_1779931169656381;0.3459;0.2928;0.6000;0.3000;0.2500;0.0909;0.0909;0.1515;0.0636;0.2806;0.6933;0.0806;0.4060;0.7112;3;5;TF-IDF
ID_1036046601275319;0.3052;0.2856;0.4000;0.2000;0.2000;0.0667;0.0667;0.1333;0.0467;0.5657;0.5423;0.0669;0.6733;0.6261;2;4;TF-IDF
ID_3929176117729138;0.1301;0.1933;0.0000;0.2000;0.2000;0.0000;0.1429;0.2857;0.0323;0.5290;0.7242;0.0697;0.6423;0.7017;2;4;TF-IDF
ID_2123038879875164;0.7412;0.5863;1.0000;0.8000;0.5500;0.1316;0.2105;0.2895;0.2076;0.6592;0.5897;0.2619;0.7627;0.6711;8;11;TF-IDF
ID_0766735065718186;0.3742;0.3255;0.4000;0.5000;0.4000;0.0455;0.1136;0.1818;0.0527;0.8482;0.6318;0.0835;0.8960;0.6663;5;8;TF-IDF
ID_0848413770343284;0.3865;0.3812;0.2000;0.3000;0.3500;0.0435;0.1304;0.3043;0.0674;0.6141;0.6377;0.1311;0.7676;0.6165;5;11;TF-IDF
ID_0973550817356564;0.3037;0.3484;0.8000;0.5000;0.4000;0.1081;0.1351;0.2162;0.1177;0.8368;0.5725;0.1531;0.8892;0.5596;5;8;TF-IDF
ID_0976385386657517;0.2762;0.3027;0.4000;0.3000;0.3000;0.0714;0.1071;0.2143;0.0524;0.8107;0.4562;0.0827;0.8580;0.5755;3;6;TF-IDF
