Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_0144465590218939;1;bone morphogenetic protein;protein kinase (rej);0.595;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;2;bone morphogenetic protein-9;protein kinase (rej);0.580;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;3;cell proliferation;protein kinase (rej);0.464;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;4;cellular signal transduction;signal transduction pathway;0.821;3;match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;5;cyclic adenosine monophosphate;phosphatidylinositol (rej);0.495;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;6;dexamethasone;phosphatidylinositol (rej);0.621;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;7;early lactating rats;early lactating rats;1.000;2;match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;8;early lactation;early lactating rats (rej);0.764;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;9;expression and processing;signal transduction pathway (rej);0.338;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;10;folic acid;phosphatidylinositol (rej);0.490;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;11;glucose homeostasis;postpartum glycemic homeostasis (rej);0.654;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;12;glucocorticoid-induced;postpartum glycemic homeostasis (rej);0.480;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;13;hypothalamic suprachiasmatic region;postpartum glycemic homeostasis (rej);0.411;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;14;insulin receptor;insulin receptor;1.000;3;match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;15;insulin resistance;insulin receptor (rej);0.785;0;sem match válido;Qwen3-1.7B-QLoRA
ID_0144465590218939;16;insulin secretion;insulin secretion;1.000;3;match válido;Qwen3-1.7B-QLoRA
