Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_0144465590218939;0.1363;0.2227;0.2000;0.2000;0.2500;0.0500;0.1000;0.2500;0.0268;0.0182;0.7582;0.0639;0.2273;0.6810;2;5;Qwen3-1.7B-QLoRA
ID_0170762259145267;0.2804;0.1809;0.6000;0.3000;0.1500;0.0698;0.0698;0.0698;0.0698;0.1471;0.0428;0.0698;0.1471;0.0428;3;3;Qwen3-1.7B-QLoRA
ID_0174325304693036;0.2805;0.2778;0.4000;0.4000;0.4000;0.0417;0.0833;0.1667;0.0326;0.1373;0.6607;0.0621;0.2927;0.6377;4;8;Qwen3-1.7B-QLoRA
ID_0228970585981305;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1957;0.1066;0.0000;0.1957;0.1263;0;0;Qwen3-1.7B-QLoRA
ID_0229339143607870;0.4226;0.2727;0.6000;0.5000;0.2500;0.0857;0.1429;0.1429;0.0833;0.3613;0.2196;0.0833;0.3613;0.2196;5;5;Qwen3-1.7B-QLoRA
ID_0277415539607307;0.3396;0.2192;0.4000;0.2000;0.1000;0.0606;0.0606;0.0606;0.0505;0.2567;0.1350;0.0505;0.2567;0.1350;3;3;Qwen3-1.7B-QLoRA
ID_0291695624884565;0.3590;0.2317;0.4000;0.2000;0.1000;0.0408;0.0408;0.0408;0.0408;0.0714;0.1864;0.0408;0.0714;0.1864;2;2;Qwen3-1.7B-QLoRA
ID_0306964533388350;0.2201;0.1607;0.2000;0.1000;0.0500;0.0500;0.0500;0.0500;0.0500;0.0444;0.1374;0.0500;0.0667;0.1821;1;1;Qwen3-1.7B-QLoRA
ID_0321740024191482;0.3877;0.3091;0.4000;0.2000;0.1000;0.0645;0.0645;0.0645;0.0645;0.0578;0.1844;0.0645;0.0578;0.1844;2;2;Qwen3-1.7B-QLoRA
ID_0353944603330456;0.2201;0.1420;0.2000;0.1000;0.0500;0.0172;0.0172;0.0172;0.0172;0.5819;0.1093;0.0172;0.5819;0.1093;1;1;Qwen3-1.7B-QLoRA
ID_0422858064703713;0.1299;0.1496;0.0000;0.2000;0.2000;0.0000;0.0571;0.1143;0.0089;0.2107;0.7025;0.0194;0.2360;0.6692;2;4;Qwen3-1.7B-QLoRA
ID_0433763336350310;0.5036;0.3250;0.4000;0.4000;0.2000;0.0690;0.1379;0.1379;0.1015;0.1090;0.5122;0.1015;0.1090;0.4703;4;4;Qwen3-1.7B-QLoRA
ID_0521334155968808;0.2796;0.2090;0.4000;0.2000;0.1000;0.0833;0.0833;0.0833;0.0833;0.3571;0.5036;0.0833;0.3571;0.4304;2;2;Qwen3-1.7B-QLoRA
ID_0535860239259102;0.3250;0.3129;0.4000;0.3000;0.2000;0.0870;0.1304;0.1739;0.0694;0.3551;0.4897;0.0810;0.4299;0.4063;4;6;Qwen3-1.7B-QLoRA
ID_0544144585124313;0.3590;0.2859;0.4000;0.2000;0.2000;0.0444;0.0444;0.0889;0.0444;0.3918;0.2072;0.0557;0.4714;0.3020;2;4;Qwen3-1.7B-QLoRA
ID_0577007377836185;0.4695;0.3030;0.6000;0.3000;0.1500;0.0789;0.0789;0.0789;0.0724;0.1277;0.2335;0.0724;0.1277;0.2335;4;4;Qwen3-1.7B-QLoRA
ID_0588546982625730;0.7753;0.6390;0.8000;0.7000;0.5500;0.0952;0.1667;0.2619;0.1516;0.2326;0.5188;0.2071;0.3928;0.5261;7;11;Qwen3-1.7B-QLoRA
ID_0654596992211296;0.2867;0.2594;0.2000;0.3000;0.2500;0.0345;0.1034;0.1724;0.0417;0.2542;0.7163;0.0650;0.3184;0.6663;3;5;Qwen3-1.7B-QLoRA
ID_0848413770343284;0.1884;0.1216;0.2000;0.2000;0.1000;0.0435;0.0870;0.0870;0.0290;0.0498;0.1829;0.0290;0.0539;0.2038;2;2;Qwen3-1.7B-QLoRA
