Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_0530966378411625;0.3666;0.3953;0.6000;0.3000;0.2500;0.1200;0.1200;0.2000;0.0907;0.5679;0.7033;0.1157;0.6790;0.6980;3;8;POP
ID_0535860239259102;0.2852;0.3073;0.2000;0.5000;0.4000;0.0435;0.2174;0.3478;0.1177;0.7103;0.6887;0.1682;0.8879;0.6648;7;13;POP
ID_0578253829444920;0.1098;0.1627;0.0000;0.2000;0.3000;0.0000;0.0800;0.2400;0.0181;0.8218;0.7028;0.0575;0.8873;0.6993;2;6;POP
ID_0676101131499422;0.5001;0.5616;0.6000;0.3000;0.3000;0.1765;0.1765;0.3529;0.1765;0.9251;0.5191;0.2291;0.9381;0.4674;6;9;POP
ID_5393628668007180;0.3524;0.3377;0.6000;0.4000;0.3000;0.1500;0.2000;0.3000;0.1133;0.7139;0.6422;0.1499;0.7823;0.6900;4;6;POP
ID_4290808161139329;0.0549;0.1534;0.0000;0.1000;0.2000;0.0000;0.0476;0.1905;0.0068;0.4862;0.6047;0.0312;0.5945;0.6627;3;7;POP
ID_3296934538404596;0.2719;0.2694;0.2000;0.3000;0.2000;0.0476;0.1429;0.1905;0.0500;0.6918;0.6886;0.0627;0.8049;0.6410;3;6;POP
ID_6231675319360093;0.4522;0.4522;0.2000;0.2000;0.1000;0.2000;0.4000;0.4000;0.2571;0.8808;0.5874;0.2571;0.8962;0.6576;2;2;POP
ID_0174325304693036;0.2380;0.3855;0.4000;0.3000;0.5500;0.0417;0.0625;0.2292;0.0451;0.7391;0.6482;0.1245;0.7655;0.6331;3;11;POP
ID_0189095897739979;0.2935;0.3338;0.2000;0.2000;0.3000;0.0294;0.0588;0.1765;0.0378;0.7540;0.6444;0.0731;0.8056;0.6255;2;6;POP
ID_0229339143607870;0.4150;0.3075;0.6000;0.6000;0.3500;0.0857;0.1714;0.2000;0.1064;0.7731;0.6864;0.1246;0.8908;0.7241;6;7;POP
ID_0278717765065500;0.1336;0.1356;0.2000;0.2000;0.1500;0.0455;0.0909;0.1364;0.0205;0.7379;0.7016;0.0329;0.8015;0.7145;4;6;POP
ID_0482551013400931;0.5526;0.5291;1.0000;0.8000;0.7000;0.0980;0.1569;0.2745;0.1437;0.7992;0.6779;0.2329;0.8491;0.6775;8;14;POP
ID_0486569206159968;0.3597;0.3429;0.2000;0.3000;0.3000;0.0278;0.0833;0.1667;0.0450;0.8921;0.6123;0.0754;0.9461;0.6065;3;6;POP
ID_0509655225224036;0.4826;0.4107;0.8000;0.5000;0.3000;0.1818;0.2273;0.2727;0.1715;0.7527;0.7344;0.1924;0.7802;0.7038;6;7;POP
ID_0516941410000104;0.3434;0.3044;0.4000;0.3000;0.2000;0.1250;0.1875;0.2500;0.0997;0.7200;0.6425;0.1205;0.8200;0.6446;5;6;POP
ID_7710344461864924;0.0365;0.0943;0.2000;0.1000;0.1500;0.0200;0.0200;0.0600;0.0040;0.6186;0.5180;0.0103;0.7458;0.5960;1;3;POP
ID_1840336983035010;0.4159;0.3124;0.2000;0.4000;0.2500;0.0385;0.1538;0.1923;0.0832;0.8065;0.6394;0.0933;0.8145;0.6363;6;7;POP
ID_3051627641386529;0.3032;0.3529;0.4000;0.4000;0.3000;0.1667;0.3333;0.5000;0.1478;0.5775;0.6309;0.2061;0.7462;0.6638;4;6;POP
ID_0218004426204544;0.6969;0.5913;0.8000;0.6000;0.5000;0.1111;0.1667;0.2778;0.1462;0.7517;0.5892;0.2073;0.8602;0.6749;6;10;POP
ID_1779931169656381;0.2156;0.2416;0.6000;0.4000;0.3500;0.0909;0.1212;0.2121;0.0569;0.4000;0.6418;0.0887;0.5701;0.6454;4;7;POP
ID_1036046601275319;0.2962;0.2495;0.2000;0.3000;0.2500;0.0333;0.1000;0.1667;0.0403;0.6082;0.6257;0.0579;0.7211;0.6758;4;6;POP
ID_3929176117729138;0.1736;0.2508;0.4000;0.2000;0.2500;0.1429;0.1429;0.3571;0.0524;0.6247;0.6944;0.1033;0.8136;0.7029;2;5;POP
ID_2123038879875164;0.5465;0.4647;0.6000;0.6000;0.4500;0.0789;0.1579;0.2368;0.1244;0.6755;0.6690;0.1729;0.7120;0.7018;6;9;POP
ID_0766735065718186;0.5051;0.4988;0.6000;0.6000;0.6000;0.0682;0.1364;0.2727;0.0812;0.8515;0.6643;0.1616;0.9125;0.6970;6;13;POP
ID_0848413770343284;0.2412;0.2734;0.2000;0.1000;0.2000;0.0435;0.0435;0.1739;0.0435;0.7344;0.6832;0.0692;0.8050;0.6816;3;8;POP
ID_0973550817356564;0.3724;0.3847;1.0000;0.6000;0.4500;0.1351;0.1622;0.2432;0.1583;0.8295;0.6245;0.2109;0.8867;0.6943;6;9;POP
ID_0976385386657517;0.2685;0.2364;0.4000;0.3000;0.2500;0.0714;0.1071;0.1786;0.0405;0.8462;0.5534;0.0626;0.8817;0.5820;3;5;POP
ID_0041995572099705;0.2158;0.2777;0.2000;0.3000;0.3500;0.0333;0.1000;0.2333;0.0387;0.5925;0.5497;0.0856;0.8170;0.5875;4;8;POP
ID_0061106995455595;0.1569;0.1758;0.0000;0.2000;0.1500;0.0000;0.0769;0.1154;0.0160;0.3979;0.6289;0.0243;0.5986;0.5994;3;6;POP
ID_0128404227626176;0.2299;0.2320;0.6000;0.4000;0.3500;0.0526;0.0702;0.1228;0.0414;0.6255;0.5113;0.0597;0.8259;0.5946;4;7;POP
ID_0161925591909696;0.6636;0.4885;0.8000;0.6000;0.4000;0.1250;0.1875;0.2500;0.1719;0.8034;0.6124;0.2057;0.8483;0.6521;6;8;POP
ID_3964840204818021;0.4946;0.4808;0.8000;0.5000;0.5000;0.0952;0.1190;0.2381;0.1037;0.8694;0.7217;0.1686;0.9045;0.6405;5;10;POP
ID_9867636928092492;0.5338;0.4971;0.6000;0.5000;0.4500;0.1071;0.1786;0.3214;0.1127;0.8454;0.7241;0.1939;0.8816;0.6857;8;14;POP
ID_0144465590218939;0.3708;0.4221;0.4000;0.3000;0.3000;0.1000;0.1500;0.3000;0.0917;0.8182;0.6896;0.1462;0.8818;0.6950;3;7;POP
ID_0932900035896817;0.0948;0.2107;0.2000;0.1000;0.2500;0.0476;0.0476;0.2381;0.0119;0.5347;0.6872;0.0569;0.7411;0.6603;1;5;POP
ID_1727283700680766;0.0970;0.1693;0.0000;0.2000;0.2500;0.0000;0.1176;0.2941;0.0229;0.4936;0.5620;0.0709;0.6474;0.6420;3;6;POP
ID_1827829018668226;0.1098;0.1612;0.0000;0.1000;0.2000;0.0000;0.0333;0.1333;0.0056;0.8394;0.5919;0.0229;0.8832;0.5989;2;5;POP
ID_1878688743763378;0.2180;0.1791;0.0000;0.3000;0.2000;0.0000;0.1111;0.1481;0.0291;0.8416;0.5694;0.0414;0.8812;0.5954;3;4;POP
ID_1885766127325722;0.0634;0.0701;0.0000;0.1000;0.0500;0.0000;0.0476;0.0476;0.0068;0.6842;0.6468;0.0068;0.8182;0.6613;3;6;POP
ID_2774467864626548;0.4780;0.4144;0.4000;0.4000;0.3000;0.0952;0.1905;0.2857;0.1270;0.8461;0.5737;0.1552;0.9036;0.6532;4;6;POP
ID_0807993828734491;0.5551;0.4285;0.6000;0.6000;0.4000;0.0938;0.1875;0.2500;0.1190;0.7222;0.4723;0.1492;0.7709;0.5895;6;8;POP
ID_9335253053250984;0.4409;0.3877;0.4000;0.4000;0.3500;0.0714;0.1429;0.2500;0.0793;0.7633;0.6225;0.1177;0.7973;0.6323;4;7;POP
ID_0232075212409214;0.3152;0.2201;0.4000;0.3000;0.1500;0.0952;0.1429;0.1429;0.0714;0.5293;0.5750;0.0714;0.6269;0.6478;3;3;POP
ID_1325667605623244;0.7196;0.6374;1.0000;0.8000;0.6500;0.1111;0.1778;0.2889;0.1674;0.7413;0.6937;0.2415;0.8252;0.6932;8;13;POP
