Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_9350794843721516;1;bioconjugates;functionalized formic lignin (rej);0.459;0;sem match válido;Qwen 2.5-1.5B
ID_9350794843721516;2;quimica;professores de química (rej);0.728;0;sem match válido;Qwen 2.5-1.5B
ID_9350794843721516;3;quimica educacional;professores de química;0.843;1;match válido;Qwen 2.5-1.5B
ID_9350794843721516;4;clay minerals;clay mineral;0.994;3;match válido;Qwen 2.5-1.5B
ID_9350794843721516;5;soils;soil physico-chemical (rej);0.798;0;sem match válido;Qwen 2.5-1.5B
ID_9350794843721516;6;basalt;argila de solos;0.800;1;match válido;Qwen 2.5-1.5B
ID_9350794843721516;7;thermal analysis;mineralogy (rej);0.426;0;sem match válido;Qwen 2.5-1.5B
ID_9350794843721516;8;magnetic fluids;mineralogy (rej);0.377;0;sem match válido;Qwen 2.5-1.5B
ID_9350794843721516;9;organic compounds;natural organic compounds;0.950;2;match válido;Qwen 2.5-1.5B
ID_9350794843721516;10;chemically bonded magnets;low cristalinity aluminosilicate (rej);0.361;0;sem match válido;Qwen 2.5-1.5B
ID_9350794843721516;11;oxides;oxide aggregate effects;0.770;2;match válido;Qwen 2.5-1.5B
ID_9350794843721516;12;minerals;mineralogy;0.928;2;match válido;Qwen 2.5-1.5B
ID_9350794843721516;13;soil chemistry;soil physico-chemical;0.931;3;match válido;Qwen 2.5-1.5B
ID_9350794843721516;14;soil physics;soil physico-chemical (rej);0.783;0;sem match válido;Qwen 2.5-1.5B
ID_9350794843721516;15;soil properties;soil physico-chemical (rej);0.888;0;sem match válido;Qwen 2.5-1.5B
ID_9350794843721516;16;soil science;soil physico-chemical (rej);0.868;0;sem match válido;Qwen 2.5-1.5B
ID_9350794843721516;17;soil classification;main soil constituents (rej);0.744;0;sem match válido;Qwen 2.5-1.5B
ID_9350794843721516;18;soil composition;main soil constituents;0.864;2;match válido;Qwen 2.5-1.5B
ID_9350794843721516;19;soil structure;soil physico-chemical (rej);0.797;0;sem match válido;Qwen 2.5-1.5B
ID_9350794843721516;20;soil fertility;soil physico-chemical (rej);0.685;0;sem match válido;Qwen 2.5-1.5B
