Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_9350794843721516;0.1501;0.1969;0.2000;0.2000;0.3000;0.0333;0.0667;0.2000;0.0157;0.2295;0.6263;4;8;0.0599;0.2459;0.5456;Qwen 2.5-1.5B
ID_8752453650114092;0.3687;0.3138;0.4000;0.2000;0.1500;0.1000;0.1000;0.1500;0.0833;0.0976;0.6815;3;4;0.0927;0.1010;0.6735;Qwen 2.5-1.5B
ID_3935055744673018;0.1218;0.0786;0.0000;0.3000;0.1500;0.0000;0.0714;0.0714;0.0154;0.1057;0.7499;3;3;0.0154;0.1057;0.7499;Qwen 2.5-1.5B
ID_1345781867765758;0.5234;0.4257;1.0000;0.5000;0.2500;0.2632;0.2632;0.2632;0.2632;0.8038;0.7267;7;7;0.2632;0.8038;0.7701;Qwen 2.5-1.5B
ID_7710344461864924;0.0000;0.0670;0.0000;0.0000;0.1500;0.0000;0.0000;0.0600;0.0000;0.1123;0.7481;0;3;0.0076;0.1335;0.6908;Qwen 2.5-1.5B
ID_1840336983035010;0.2411;0.2331;0.4000;0.4000;0.3000;0.0769;0.1538;0.2308;0.0607;0.2823;0.6788;4;6;0.0947;0.3871;0.7343;Qwen 2.5-1.5B
ID_3051627641386529;0.6269;0.5781;0.6000;0.5000;0.3000;0.2500;0.4167;0.5000;0.3000;0.3176;0.5507;5;6;0.3455;0.3374;0.6956;Qwen 2.5-1.5B
ID_0218004426204544;0.0694;0.0844;0.0000;0.1000;0.1000;0.0000;0.0278;0.0556;0.0035;0.0301;0.7907;1;2;0.0085;0.1329;0.7638;Qwen 2.5-1.5B
ID_2774467864626548;0.4930;0.3570;0.6000;0.3000;0.1500;0.1429;0.1429;0.1429;0.1429;0.4280;0.7345;5;6;0.1429;0.4493;0.7400;Qwen 2.5-1.5B
ID_0807993828734491;0.5072;0.3901;0.8000;0.5000;0.4000;0.1250;0.1562;0.2500;0.1109;0.5120;0.6358;5;8;0.1494;0.5266;0.6884;Qwen 2.5-1.5B
ID_9335253053250984;0.3953;0.3597;0.4000;0.5000;0.4000;0.0714;0.1786;0.2857;0.0793;0.6735;0.6588;5;8;0.1261;0.7116;0.6374;Qwen 2.5-1.5B
ID_0232075212409214;0.0284;0.0198;0.0000;0.1000;0.0500;0.0000;0.0476;0.0476;0.0053;0.0253;0.7628;1;1;0.0053;0.0413;0.7687;Qwen 2.5-1.5B
ID_5393628668007180;0.1001;0.1124;0.4000;0.2000;0.1500;0.1000;0.1000;0.1500;0.0500;0.2658;0.6496;2;3;0.0594;0.2810;0.6943;Qwen 2.5-1.5B
ID_4290808161139329;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0149;0.7794;0;0;0.0000;0.0212;0.7662;Qwen 2.5-1.5B
