Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_9350794843721516;1;formacao de professores;professores de química (rej);0.638;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;2;lectura sistematica;professores de química (rej);0.286;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;3;educacao;professores de química (rej);0.521;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;4;quimica;professores de química (rej);0.728;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;5;argilominerais;argila de solos (rej);0.748;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;6;materiais lignocelulosicos;diferentes materiais (rej);0.700;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;7;biosorcao;corante reativo azul (rej);0.426;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;8;mineralogia;mineralogy;0.947;2;match válido;Qwen 2.5-3B
ID_9350794843721516;9;soils;soil physico-chemical;0.798;3;match válido;Qwen 2.5-3B
ID_9350794843721516;10;toposequence;adsorção em diferentes (rej);0.484;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;11;argila;argila de solos;0.915;1;match válido;Qwen 2.5-3B
ID_9350794843721516;12;argilominerais 2:1;clay fraction minerals (rej);0.620;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;13;ctc;effective cation exchange (rej);0.402;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;14;ctce;effective cation exchange (rej);0.442;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;15;dissolucao seletiva;selective dissolution (rej);0.742;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;16;ferro oxidos;free iron (rej);0.669;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;17;magneto fluido;specific surface (rej);0.390;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;18;adsorcao;adsorção em diferentes;0.799;1;match válido;Qwen 2.5-3B
ID_9350794843721516;19;potassio;soils kaolinite (rej);0.628;0;sem match válido;Qwen 2.5-3B
ID_9350794843721516;20;latossolo;argila de solos (rej);0.509;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;1;selenium;selenium;1.000;3;match válido;Qwen 2.5-3B
ID_8752453650114092;2;glutamate;glutamate uptake;0.887;2;match válido;Qwen 2.5-3B
ID_8752453650114092;3;oxidative stress;oxidative stress;1.000;3;match válido;Qwen 2.5-3B
ID_8752453650114092;4;hippocampus;central nervous system (rej);0.547;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;5;glutamatergic;glutamate uptake (rej);0.862;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;6;glutathione;glutathione peroxidase;0.754;2;match válido;Qwen 2.5-3B
ID_8752453650114092;7;ketones;δ-aminolevulinate dehydratase (rej);0.473;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;8;excitotoxicity;toxicological study (rej);0.690;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;9;lipid peroxidation;lipid peroxidation;1.000;2;match válido;Qwen 2.5-3B
ID_8752453650114092;10;free radicals;reactive oxygen species (rej);0.401;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;11;dithiolethylene;organotellurium compound (rej);0.635;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;12;diphenyl diselenide;δ-aminolevulinate dehydratase (rej);0.651;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;13;cognitive;ensino fundamental (rej);0.393;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;14;behavioral;ensino fundamental (rej);0.331;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;15;hypothyroidism;atherosclerosis (rej);0.454;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;16;depression;oxidative stress (rej);0.296;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;17;neuroprotection;central nervous system (rej);0.479;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;18;rat;tellurium (rej);0.345;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;19;open field;tellurium (rej);0.169;0;sem match válido;Qwen 2.5-3B
ID_8752453650114092;20;forced swimming;mercuric chloride (rej);0.248;0;sem match válido;Qwen 2.5-3B
ID_3935055744673018;1;aminolevulinate dehydratase (Î -ALA-D). However;-aminolevulinate dehydratase;0.916;3;match válido;Qwen 2.5-3B
ID_3935055744673018;2;when HP and valerian were administered together;atpase and adpase (rej);0.393;0;sem match válido;Qwen 2.5-3B
ID_3935055744673018;3;but not in the kidney;organotellurium (rej);0.444;0;sem match válido;Qwen 2.5-3B
ID_3935055744673018;4;and this is associated with a decrease in Î -ALA-D activity. Furthermore;-aminolevulinate dehydratase activity (rej);0.491;0;sem match válido;Qwen 2.5-3B
ID_3935055744673018;5;};bal (rej);0.700;0;sem match válido;Qwen 2.5-3B
ID_3935055744673018;6;{;bal (rej);0.702;0;sem match válido;Qwen 2.5-3B
ID_3935055744673018;7;"keywords"":";bal (rej);0.302;0;sem match válido;Qwen 2.5-3B
ID_3935055744673018;8;non-protein thiol (NPSH);thiobarbituric acid reactive (rej);0.557;0;sem match válido;Qwen 2.5-3B
ID_3935055744673018;9;glutathione (GSH);glutamate uptake;0.779;2;match válido;Qwen 2.5-3B
ID_3935055744673018;10;hippocampus;rat hippocampal slices;0.821;2;match válido;Qwen 2.5-3B
ID_3935055744673018;11;;;;;;Qwen 2.5-3B
ID_3935055744673018;12;;;;;;Qwen 2.5-3B
ID_3935055744673018;13;;;;;;Qwen 2.5-3B
ID_3935055744673018;14;;;;;;Qwen 2.5-3B
ID_3935055744673018;15;;;;;;Qwen 2.5-3B
ID_3935055744673018;16;;;;;;Qwen 2.5-3B
ID_3935055744673018;17;;;;;;Qwen 2.5-3B
ID_3935055744673018;18;;;;;;Qwen 2.5-3B
