Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_9350794843721516;0.0960;0.0783;0.0000;0.2000;0.1000;0.0000;0.0667;0.0667;0.0116;0.1967;0.6722;2;4;0.0116;0.3770;0.6667;Qwen 2.5-3B
ID_8752453650114092;0.4878;0.3889;0.6000;0.5000;0.2500;0.1500;0.2500;0.2500;0.2111;0.1672;0.6545;5;5;0.2111;0.1847;0.7449;Qwen 2.5-3B
ID_3935055744673018;0.2758;0.1780;0.2000;0.3000;0.1500;0.0238;0.0714;0.0714;0.0362;0.1029;0.7564;3;3;0.0362;0.1029;0.7564;Qwen 2.5-3B
ID_1345781867765758;0.1851;0.1720;0.2000;0.3000;0.2000;0.0526;0.1579;0.2105;0.0548;0.7468;0.7530;5;6;0.0724;0.7516;0.7702;Qwen 2.5-3B
ID_7710344461864924;0.3571;0.3320;0.2000;0.3000;0.3500;0.0200;0.0600;0.1400;0.0317;0.1186;0.6083;3;7;0.0605;0.2479;0.6683;Qwen 2.5-3B
ID_1840336983035010;0.2160;0.2809;0.6000;0.3000;0.4000;0.1154;0.1154;0.3077;0.0679;0.3387;0.6889;4;9;0.1402;0.5242;0.7514;Qwen 2.5-3B
ID_3051627641386529;0.4968;0.4680;0.4000;0.4000;0.2500;0.1667;0.3333;0.4167;0.2000;0.3495;0.6041;4;6;0.2231;0.3754;0.6495;Qwen 2.5-3B
ID_0218004426204544;0.6137;0.3960;0.6000;0.5000;0.2500;0.0833;0.1389;0.1389;0.1173;0.3868;0.6488;5;5;0.1173;0.3887;0.7047;Qwen 2.5-3B
ID_2774467864626548;0.2768;0.1976;0.2000;0.1000;0.0500;0.0476;0.0476;0.0476;0.0476;0.3492;0.5861;5;5;0.0476;0.3592;0.6868;Qwen 2.5-3B
ID_0807993828734491;0.3786;0.2791;0.4000;0.3000;0.2000;0.0625;0.0938;0.1250;0.0571;0.4981;0.5251;3;4;0.0650;0.5063;0.5477;Qwen 2.5-3B
ID_9335253053250984;0.4323;0.4887;0.4000;0.3000;0.4500;0.0714;0.1071;0.3214;0.0867;0.5007;0.5820;3;9;0.1723;0.6571;0.5579;Qwen 2.5-3B
ID_0232075212409214;0.0000;0.0415;0.0000;0.0000;0.0500;0.0000;0.0000;0.0476;0.0000;0.0390;0.6456;0;1;0.0040;0.1194;0.6754;Qwen 2.5-3B
ID_5393628668007180;0.0493;0.0529;0.0000;0.1000;0.1000;0.0000;0.0500;0.1000;0.0083;0.2608;0.6883;2;3;0.0146;0.2709;0.6879;Qwen 2.5-3B
ID_4290808161139329;0.0450;0.0364;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0594;0.5489;2;3;0.0000;0.0807;0.6442;Qwen 2.5-3B
ID_3296934538404596;0.2834;0.2426;0.2000;0.3000;0.2000;0.0476;0.1429;0.1905;0.0813;0.3134;0.6071;3;4;0.0960;0.3550;0.5964;Qwen 2.5-3B
ID_6231675319360093;0.1208;0.2926;0.0000;0.1000;0.1500;0.0000;0.2000;0.6000;0.0333;0.4962;0.6193;1;3;0.0997;0.5769;0.6176;Qwen 2.5-3B
ID_6284168579617066;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2233;0.5449;0;0;0.0000;0.2451;0.5998;Qwen 2.5-3B
ID_9848311210578810;0.3638;0.3087;0.6000;0.4000;0.3000;0.0652;0.0870;0.1304;0.0529;0.1576;0.7167;4;6;0.0707;0.2343;0.6905;Qwen 2.5-3B
ID_5768000922241088;0.4128;0.3699;0.4000;0.4000;0.2500;0.1176;0.2353;0.2941;0.1160;0.3079;0.5983;6;9;0.1405;0.3509;0.6547;Qwen 2.5-3B
ID_2647529909397336;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0547;0.6205;0;0;0.0000;0.1125;0.6472;Qwen 2.5-3B
ID_1779931169656381;0.0694;0.0965;0.0000;0.1000;0.1500;0.0000;0.0303;0.0909;0.0038;0.0925;0.6874;1;3;0.0150;0.1313;0.6856;Qwen 2.5-3B
ID_1036046601275319;0.0000;0.0895;0.0000;0.0000;0.1500;0.0000;0.0000;0.1000;0.0000;0.0837;0.6549;0;3;0.0122;0.2430;0.7316;Qwen 2.5-3B
ID_3929176117729138;0.1117;0.0960;0.2000;0.1000;0.0500;0.0714;0.0714;0.0714;0.0714;0.1537;0.4694;1;1;0.0714;0.1537;0.4694;Qwen 2.5-3B
ID_2123038879875164;0.5743;0.4226;0.4000;0.5000;0.3500;0.0526;0.1316;0.1842;0.0940;0.3955;0.6025;5;7;0.1194;0.3976;0.4401;Qwen 2.5-3B
ID_3964840204818021;0.5164;0.3667;0.8000;0.7000;0.4500;0.0952;0.1667;0.2143;0.1516;0.6369;0.6440;7;9;0.1867;0.6369;0.6372;Qwen 2.5-3B
ID_9867636928092492;0.2964;0.2612;0.4000;0.4000;0.2500;0.0714;0.1429;0.1786;0.0857;0.5447;0.6440;4;5;0.1019;0.5454;0.6468;Qwen 2.5-3B
ID_0144465590218939;0.3104;0.3472;0.4000;0.4000;0.3000;0.1000;0.2000;0.3000;0.0950;0.2636;0.5879;4;6;0.1373;0.3182;0.5713;Qwen 2.5-3B
ID_0932900035896817;0.2489;0.2369;0.4000;0.2000;0.2000;0.0952;0.0952;0.1905;0.0556;0.1572;0.6097;2;4;0.0785;0.2773;0.6213;Qwen 2.5-3B
ID_0041995572099705;0.0963;0.1062;0.2000;0.1000;0.1500;0.0333;0.0333;0.1000;0.0067;0.0707;0.7942;2;4;0.0167;0.0915;0.7593;Qwen 2.5-3B
ID_0061106995455595;0.2201;0.1687;0.2000;0.1000;0.0500;0.0385;0.0385;0.0385;0.0385;0.1498;0.6221;1;1;0.0385;0.1756;0.6179;Qwen 2.5-3B
ID_0128404227626176;0.0000;0.0661;0.0000;0.0000;0.1500;0.0000;0.0000;0.0526;0.0000;0.1316;0.6457;0;3;0.0071;0.3401;0.5679;Qwen 2.5-3B
ID_0161925591909696;0.1070;0.1461;0.0000;0.2000;0.2000;0.0000;0.0625;0.1250;0.0141;0.4382;0.8019;2;4;0.0305;0.5028;0.7672;Qwen 2.5-3B
ID_0174325304693036;0.2010;0.2085;0.4000;0.4000;0.3500;0.0417;0.0833;0.1458;0.0402;0.1164;0.7510;4;7;0.0621;0.2355;0.6972;Qwen 2.5-3B
ID_0189095897739979;0.0000;0.1759;0.0000;0.0000;0.2500;0.0000;0.0000;0.1471;0.0000;0.0079;0.8347;0;5;0.0259;0.1151;0.7261;Qwen 2.5-3B
ID_0229339143607870;0.6061;0.4719;0.8000;0.6000;0.4500;0.1143;0.1714;0.2571;0.1288;0.2521;0.5802;6;9;0.1655;0.3445;0.5931;Qwen 2.5-3B
ID_0278717765065500;0.0590;0.1486;0.0000;0.1000;0.1500;0.0000;0.0455;0.1364;0.0065;0.1527;0.6758;2;4;0.0202;0.1832;0.6515;Qwen 2.5-3B
ID_0482551013400931;0.5612;0.4334;0.8000;0.6000;0.4000;0.0784;0.1176;0.1569;0.0972;0.2460;0.5809;6;8;0.1169;0.3730;0.6652;Qwen 2.5-3B
ID_0486569206159968;0.0000;0.0844;0.0000;0.0000;0.1500;0.0000;0.0000;0.0833;0.0000;0.0083;0.7939;0;3;0.0104;0.5519;0.8099;Qwen 2.5-3B
ID_0509655225224036;0.1635;0.2151;0.2000;0.2000;0.2500;0.0455;0.0909;0.2273;0.0242;0.0769;0.7505;2;5;0.0611;0.1923;0.7502;Qwen 2.5-3B
ID_0516941410000104;0.1751;0.2736;0.0000;0.3000;0.3000;0.0000;0.1875;0.3750;0.0448;0.4200;0.6067;3;8;0.1166;0.4200;0.6110;Qwen 2.5-3B
