Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_9350794843721516;1;adsorcao;adsorção em diferentes;0.799;1;match válido;Qwen3-1.7B
ID_9350794843721516;2;biocompatible;organic matter (rej);0.427;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;3;magnetita;specific surface (rej);0.408;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;4;maghemita;argila de solos (rej);0.442;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;5;nanopartículas;low cristalinity aluminosilicate (rej);0.457;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;6;nanocompositos;diferentes materiais (rej);0.486;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;7;lignina;functionalized formic lignin;0.792;3;match válido;Qwen3-1.7B
ID_9350794843721516;8;ferróides;soils kaolinite (rej);0.506;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;9;argilominerais;argila de solos (rej);0.748;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;10;dissolucao seletiva;selective dissolution (rej);0.742;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;11;area superficial especifica;specific surface;0.845;2;match válido;Qwen3-1.7B
ID_9350794843721516;12;capacidade de troca cationica;effective cation exchange;0.832;1;match válido;Qwen3-1.7B
ID_9350794843721516;13;tabela periódica;presented average values (rej);0.438;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;14;mineralogia;mineralogy;0.947;2;match válido;Qwen3-1.7B
ID_9350794843721516;15;termogravimetrica;mineralogy (rej);0.382;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;16;difratometria de raios-X;occlusion (rej);0.341;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;17;adsorcao de metais;diferentes materiais (rej);0.703;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;18;adsorcao de corantes;corante reativo azul (rej);0.672;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;19;fisico-quimica dos solos;professores de química (rej);0.654;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;20;solo subtropical;specific surface (rej);0.379;0;sem match válido;Qwen3-1.7B
ID_8752453650114092;1;selenium;selenium;1.000;3;match válido;Qwen3-1.7B
ID_8752453650114092;2;antioxidant;antioxidant;1.000;2;match válido;Qwen3-1.7B
ID_8752453650114092;3;glutamate;glutamate uptake (rej);0.887;0;sem match válido;Qwen3-1.7B
ID_8752453650114092;4;oxidative stress;oxidative stress;1.000;3;match válido;Qwen3-1.7B
ID_8752453650114092;5;mitochondrial dysfunction;mitochondrial dysfunction;1.000;3;match válido;Qwen3-1.7B
ID_8752453650114092;6;neuroprotection;central nervous system (rej);0.479;0;sem match válido;Qwen3-1.7B
ID_8752453650114092;7;lipid peroxidation;lipid peroxidation;1.000;2;match válido;Qwen3-1.7B
ID_8752453650114092;8;free radicals;reactive oxygen species (rej);0.401;0;sem match válido;Qwen3-1.7B
ID_8752453650114092;9;sodium nitroprusside;organotellurium compound (rej);0.526;0;sem match válido;Qwen3-1.7B
