Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_9350794843721516;0.1048;0.1144;0.0000;0.1000;0.1500;0.0000;0.0333;0.1000;0.0048;0.3115;0.6395;2;5;0.0180;0.3770;0.6354;Qwen3-1.7B
ID_8752453650114092;0.5303;0.4675;0.8000;0.5000;0.3500;0.2000;0.2500;0.3500;0.2132;0.2300;0.6621;5;8;0.2484;0.2404;0.6754;Qwen3-1.7B
ID_3935055744673018;0.0679;0.0438;0.2000;0.2000;0.1000;0.0238;0.0476;0.0476;0.0116;0.0911;0.6348;2;2;0.0116;0.0911;0.6348;Qwen3-1.7B
ID_1345781867765758;0.3518;0.3111;0.4000;0.3000;0.2000;0.1053;0.1579;0.2105;0.1015;0.8180;0.6327;7;9;0.1120;0.8291;0.6353;Qwen3-1.7B
ID_7710344461864924;0.3446;0.2224;0.4000;0.3000;0.1500;0.0400;0.0600;0.0600;0.0375;0.1419;0.5364;3;3;0.0375;0.2225;0.6362;Qwen3-1.7B
ID_1840336983035010;0.4058;0.2896;0.6000;0.4000;0.2000;0.1154;0.1538;0.1538;0.1186;0.3387;0.7227;6;6;0.1186;0.3790;0.7189;Qwen3-1.7B
ID_3051627641386529;0.4081;0.4489;0.2000;0.3000;0.2500;0.0833;0.2500;0.4167;0.1292;0.4012;0.6967;4;6;0.1890;0.5106;0.7141;Qwen3-1.7B
ID_0218004426204544;0.4323;0.3683;0.4000;0.3000;0.3000;0.0556;0.0833;0.1667;0.0675;0.2821;0.6622;3;6;0.0973;0.4777;0.6705;Qwen3-1.7B
ID_2774467864626548;0.3868;0.3339;0.4000;0.2000;0.2000;0.0952;0.0952;0.1905;0.0952;0.4243;0.5858;4;7;0.1127;0.4380;0.6312;Qwen3-1.7B
ID_0807993828734491;0.4396;0.3210;0.4000;0.5000;0.3000;0.0625;0.1562;0.1875;0.1071;0.5234;0.6117;5;6;0.1216;0.5405;0.6241;Qwen3-1.7B
ID_9335253053250984;0.4674;0.4411;0.4000;0.6000;0.5000;0.0714;0.2143;0.3571;0.1076;0.5959;0.6191;6;10;0.1829;0.6639;0.4961;Qwen3-1.7B
ID_0232075212409214;0.2109;0.1473;0.2000;0.3000;0.1500;0.0476;0.1429;0.1429;0.0473;0.1217;0.5592;3;3;0.0473;0.1217;0.5592;Qwen3-1.7B
ID_5393628668007180;0.2555;0.2203;0.4000;0.3000;0.2500;0.1000;0.1500;0.2500;0.0771;0.3013;0.5485;3;5;0.1053;0.3443;0.5193;Qwen3-1.7B
ID_4290808161139329;0.0095;0.0066;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0255;0.6485;1;1;0.0000;0.0318;0.5915;Qwen3-1.7B
ID_3296934538404596;0.4004;0.3151;0.4000;0.3000;0.1500;0.0952;0.1429;0.1429;0.0918;0.2718;0.5383;4;4;0.0918;0.3849;0.5719;Qwen3-1.7B
ID_6231675319360093;0.3161;0.3161;0.2000;0.2000;0.1000;0.2000;0.4000;0.4000;0.1444;0.5500;0.6826;2;2;0.1444;0.5692;0.6148;Qwen3-1.7B
ID_6284168579617066;0.4251;0.3853;0.4000;0.6000;0.4500;0.0870;0.2609;0.3913;0.1281;0.3083;0.7263;6;9;0.2055;0.3519;0.7020;Qwen3-1.7B
ID_9848311210578810;0.2451;0.1930;0.0000;0.4000;0.2500;0.0000;0.0870;0.1087;0.0267;0.1680;0.6277;4;5;0.0335;0.2440;0.6219;Qwen3-1.7B
ID_5768000922241088;0.4688;0.5580;0.6000;0.3000;0.4000;0.1765;0.1765;0.4706;0.1529;0.3089;0.6349;4;11;0.2676;0.3767;0.5927;Qwen3-1.7B
ID_2647529909397336;0.1389;0.1124;0.2000;0.1000;0.0500;0.0385;0.0385;0.0385;0.0192;0.1033;0.4806;1;1;0.0192;0.1094;0.5653;Qwen3-1.7B
ID_1779931169656381;0.0948;0.1518;0.2000;0.1000;0.2000;0.0303;0.0303;0.1212;0.0076;0.0687;0.6779;1;4;0.0272;0.1612;0.6426;Qwen3-1.7B
ID_1036046601275319;0.0000;0.0144;0.0000;0.0000;0.0500;0.0000;0.0000;0.0333;0.0000;0.2523;0.6391;0;1;0.0017;0.2656;0.7110;Qwen3-1.7B
ID_3929176117729138;0.1645;0.1413;0.2000;0.1000;0.0500;0.0714;0.0714;0.0714;0.0357;0.1788;0.5564;1;1;0.0357;0.1788;0.5564;Qwen3-1.7B
ID_2123038879875164;0.6195;0.4388;0.8000;0.7000;0.4000;0.1053;0.1842;0.2105;0.1728;0.4807;0.6892;7;9;0.1845;0.4990;0.6597;Qwen3-1.7B
ID_3964840204818021;0.3432;0.2385;0.6000;0.3000;0.2000;0.0714;0.0714;0.0952;0.0714;0.5892;0.5223;3;4;0.0801;0.5987;0.5678;Qwen3-1.7B
ID_9867636928092492;0.2135;0.1750;0.4000;0.2000;0.1500;0.0714;0.0714;0.1071;0.0595;0.5257;0.6812;3;4;0.0693;0.5382;0.6797;Qwen3-1.7B
ID_0144465590218939;0.4194;0.3778;0.4000;0.3000;0.2500;0.1000;0.1500;0.2500;0.0964;0.2727;0.7042;3;5;0.1325;0.4364;0.6341;Qwen3-1.7B
ID_0932900035896817;0.2258;0.1484;0.2000;0.2000;0.1000;0.0476;0.0952;0.0952;0.0374;0.1618;0.6606;3;3;0.0374;0.1618;0.6694;Qwen3-1.7B
ID_0041995572099705;0.0784;0.2298;0.0000;0.1000;0.3000;0.0000;0.0333;0.2000;0.0056;0.0624;0.7793;1;7;0.0519;0.3347;0.7638;Qwen3-1.7B
ID_0061106995455595;0.1389;0.1120;0.2000;0.1000;0.0500;0.0385;0.0385;0.0385;0.0192;0.0871;0.6429;1;2;0.0192;0.2118;0.6397;Qwen3-1.7B
ID_0128404227626176;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0020;0.7184;0;0;0.0000;0.0040;0.5945;Qwen3-1.7B
ID_0161925591909696;0.1834;0.2337;0.2000;0.2000;0.2500;0.0312;0.0625;0.1562;0.0193;0.4775;0.5785;2;5;0.0467;0.5309;0.5932;Qwen3-1.7B
ID_0174325304693036;0.2704;0.2072;0.6000;0.4000;0.2500;0.0625;0.0833;0.1042;0.0729;0.2145;0.7500;4;5;0.0824;0.2245;0.6645;Qwen3-1.7B
ID_0189095897739979;0.3979;0.4023;0.4000;0.5000;0.4500;0.0588;0.1471;0.2647;0.0670;0.1389;0.7685;5;9;0.1287;0.1627;0.6528;Qwen3-1.7B
ID_0229339143607870;0.6226;0.5052;0.8000;0.6000;0.5000;0.1143;0.1714;0.2857;0.1538;0.3445;0.6489;6;10;0.2207;0.3697;0.6337;Qwen3-1.7B
ID_0278717765065500;0.2327;0.1870;0.4000;0.2000;0.1000;0.0909;0.0909;0.0909;0.0530;0.2010;0.5880;2;3;0.0530;0.2188;0.5870;Qwen3-1.7B
ID_0482551013400931;0.6679;0.4480;0.8000;0.7000;0.4000;0.0784;0.1373;0.1569;0.1287;0.5000;0.4877;7;8;0.1430;0.5000;0.4675;Qwen3-1.7B
ID_0486569206159968;0.4674;0.3674;0.4000;0.6000;0.4000;0.0556;0.1667;0.2222;0.0837;0.5145;0.7743;6;8;0.1056;0.5519;0.7244;Qwen3-1.7B
ID_0509655225224036;0.1357;0.1098;0.0000;0.2000;0.1000;0.0000;0.0909;0.0909;0.0158;0.0604;0.3875;2;2;0.0158;0.0659;0.4025;Qwen3-1.7B
ID_0516941410000104;0.3530;0.4007;0.4000;0.4000;0.3500;0.1250;0.2500;0.4375;0.1137;0.4800;0.5802;6;9;0.1885;0.5200;0.5076;Qwen3-1.7B
ID_0530966378411625;0.1754;0.1380;0.4000;0.2000;0.1000;0.0800;0.0800;0.0800;0.0360;0.2222;0.6674;2;2;0.0360;0.2222;0.6933;Qwen3-1.7B
ID_0535860239259102;0.4008;0.3912;0.8000;0.4000;0.3000;0.1739;0.1739;0.2609;0.1739;0.3738;0.6660;7;10;0.2014;0.4112;0.6749;Qwen3-1.7B
ID_0578253829444920;0.2772;0.2155;0.4000;0.4000;0.2500;0.0800;0.1600;0.2000;0.0994;0.6400;0.7174;4;5;0.1148;0.6509;0.6783;Qwen3-1.7B
ID_0676101131499422;0.1645;0.1986;0.2000;0.2000;0.1500;0.0588;0.1176;0.1765;0.0343;0.6384;0.7732;3;6;0.0431;0.6645;0.7410;Qwen3-1.7B
ID_0766735065718186;0.2850;0.2855;0.4000;0.3000;0.3500;0.0455;0.0682;0.1591;0.0394;0.3086;0.6465;3;7;0.0724;0.4917;0.5919;Qwen3-1.7B
