Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_9350794843721516;1;formacao de professores;professores de química (rej);0.638;0;sem match válido;Qwen3-4B
ID_9350794843721516;2;licenciatura em quimica;professores de química (rej);0.820;0;sem match válido;Qwen3-4B
ID_9350794843721516;3;cursos de quimica rondonienses;professores de química (rej);0.746;0;sem match válido;Qwen3-4B
ID_9350794843721516;4;ensino de quimica;professores de química;0.942;1;match válido;Qwen3-4B
ID_9350794843721516;5;quimica inorgânica;natural organic compounds;0.786;2;match válido;Qwen3-4B
ID_9350794843721516;6;educação básica;professores de química (rej);0.511;0;sem match válido;Qwen3-4B
ID_9350794843721516;7;ensino médio;professores de química (rej);0.459;0;sem match válido;Qwen3-4B
ID_9350794843721516;8;PIBID Quimica;natural organic compounds (rej);0.540;0;sem match válido;Qwen3-4B
ID_9350794843721516;9;mineralogia;mineralogy;0.947;2;match válido;Qwen3-4B
ID_9350794843721516;10;clay minerals;clay mineral;0.994;3;match válido;Qwen3-4B
ID_9350794843721516;11;soil analysis;main soil constituents;0.759;2;match válido;Qwen3-4B
ID_9350794843721516;12;soil characterization;soil physico-chemical;0.812;3;match válido;Qwen3-4B
ID_9350794843721516;13;adsorcao;adsorção em diferentes;0.799;1;match válido;Qwen3-4B
ID_9350794843721516;14;biosorcao;corante reativo azul (rej);0.426;0;sem match válido;Qwen3-4B
ID_9350794843721516;15;dissolucao seletiva;selective dissolution (rej);0.742;0;sem match válido;Qwen3-4B
ID_9350794843721516;16;area superficial especifica;specific surface;0.845;2;match válido;Qwen3-4B
ID_9350794843721516;17;capacidade de troca cationica;effective cation exchange;0.832;1;match válido;Qwen3-4B
ID_9350794843721516;18;CTC;effective cation exchange (rej);0.401;0;sem match válido;Qwen3-4B
ID_9350794843721516;19;CTC-K;occlusion (rej);0.348;0;sem match válido;Qwen3-4B
ID_9350794843721516;20;iron oxides;oxide aggregate effects (rej);0.685;0;sem match válido;Qwen3-4B
ID_8752453650114092;1;antioxidant;antioxidant;1.000;2;match válido;Qwen3-4B
ID_8752453650114092;2;selecionado;tellurium (rej);0.310;0;sem match válido;Qwen3-4B
ID_8752453650114092;3;selenium;selenium;1.000;3;match válido;Qwen3-4B
ID_8752453650114092;4;glutamate;glutamate uptake;0.887;2;match válido;Qwen3-4B
ID_8752453650114092;5;oxidative stress;oxidative stress;1.000;3;match válido;Qwen3-4B
ID_8752453650114092;6;mitochondrial dysfunction;mitochondrial dysfunction;1.000;3;match válido;Qwen3-4B
ID_8752453650114092;7;neurotoxicity;toxicological study (rej);0.718;0;sem match válido;Qwen3-4B
