Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_9350794843721516;0.1420;0.1862;0.2000;0.3000;0.3000;0.0333;0.1000;0.2000;0.0241;0.1803;0.5728;4;9;0.0626;0.3607;0.6811;Qwen3-4B
ID_8752453650114092;0.5100;0.4543;0.8000;0.6000;0.4000;0.2000;0.3000;0.4000;0.2325;0.2334;0.7123;6;9;0.2827;0.2474;0.6714;Qwen3-4B
ID_3935055744673018;0.3965;0.2705;0.2000;0.4000;0.2500;0.0238;0.0952;0.1190;0.0539;0.1501;0.7195;4;5;0.0609;0.1518;0.7258;Qwen3-4B
ID_1345781867765758;0.4805;0.4325;0.6000;0.4000;0.2500;0.1579;0.2105;0.2632;0.1719;0.8085;0.7558;7;11;0.1939;0.8196;0.7201;Qwen3-4B
ID_7710344461864924;0.4235;0.3581;0.4000;0.4000;0.3500;0.0400;0.0800;0.1400;0.0488;0.1314;0.5777;4;7;0.0725;0.2161;0.6413;Qwen3-4B
ID_1840336983035010;0.0372;0.0911;0.0000;0.1000;0.1500;0.0000;0.0385;0.1154;0.0038;0.2500;0.8213;2;6;0.0148;0.2903;0.7874;Qwen3-4B
ID_3051627641386529;0.0981;0.1783;0.0000;0.1000;0.1500;0.0000;0.0833;0.2500;0.0139;0.2036;0.7230;1;3;0.0470;0.2918;0.7322;Qwen3-4B
ID_0218004426204544;0.3590;0.3536;0.4000;0.2000;0.3000;0.0556;0.0556;0.1667;0.0556;0.2771;0.7407;2;6;0.0890;0.4345;0.7129;Qwen3-4B
ID_2774467864626548;0.5136;0.3837;0.4000;0.4000;0.2000;0.0952;0.1905;0.1905;0.1302;0.4756;0.6524;6;9;0.1302;0.4781;0.7139;Qwen3-4B
ID_0807993828734491;0.4074;0.4370;0.6000;0.4000;0.4500;0.0938;0.1250;0.2812;0.0731;0.5361;0.5998;4;9;0.1407;0.5513;0.5773;Qwen3-4B
ID_9335253053250984;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0027;0.7457;0;0;0.0000;0.0109;0.7562;Qwen3-4B
ID_0232075212409214;0.0663;0.0463;0.0000;0.1000;0.0500;0.0000;0.0476;0.0476;0.0053;0.0402;0.6938;1;1;0.0053;0.0551;0.7327;Qwen3-4B
ID_5393628668007180;0.0284;0.0384;0.0000;0.1000;0.1000;0.0000;0.0500;0.1000;0.0056;0.1013;0.7444;1;2;0.0127;0.1620;0.7707;Qwen3-4B
ID_4290808161139329;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0212;0.7061;0;0;0.0000;0.0573;0.7358;Qwen3-4B
ID_3296934538404596;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.7024;0;0;0.0000;0.0026;0.7339;Qwen3-4B
ID_6231675319360093;0.1461;0.2245;0.2000;0.1000;0.1000;0.2000;0.2000;0.4000;0.0500;0.5500;0.6860;1;2;0.0711;0.5923;0.6335;Qwen3-4B
ID_6284168579617066;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0121;0.7024;0;0;0.0000;0.0121;0.7339;Qwen3-4B
ID_9848311210578810;0.1694;0.2159;0.0000;0.3000;0.3000;0.0000;0.0652;0.1304;0.0158;0.1051;0.6071;3;6;0.0374;0.1954;0.6732;Qwen3-4B
ID_5768000922241088;0.5632;0.5242;0.6000;0.5000;0.4000;0.1765;0.2941;0.4706;0.1814;0.3423;0.6978;7;10;0.2719;0.3574;0.7310;Qwen3-4B
ID_2647529909397336;0.0000;0.0304;0.0000;0.0000;0.0500;0.0000;0.0000;0.0385;0.0000;0.0122;0.6700;0;3;0.0023;0.0790;0.7187;Qwen3-4B
ID_1779931169656381;0.0000;0.1192;0.0000;0.0000;0.2000;0.0000;0.0000;0.1212;0.0000;0.0119;0.7621;0;4;0.0183;0.1463;0.7458;Qwen3-4B
ID_1036046601275319;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2497;0.6373;0;0;0.0000;0.2656;0.6289;Qwen3-4B
ID_3929176117729138;0.1831;0.1573;0.2000;0.2000;0.1000;0.0714;0.1429;0.1429;0.0321;0.2015;0.7043;2;2;0.0321;0.2116;0.6667;Qwen3-4B
ID_2123038879875164;0.4380;0.4703;0.8000;0.4000;0.5000;0.1053;0.1053;0.2632;0.1053;0.4178;0.7624;4;10;0.1752;0.4909;0.7384;Qwen3-4B
ID_3964840204818021;0.6586;0.4250;1.0000;0.8000;0.4000;0.1190;0.1905;0.1905;0.1827;0.6433;0.6224;8;8;0.1827;0.6433;0.6673;Qwen3-4B
ID_9867636928092492;0.2332;0.1888;0.4000;0.2000;0.1500;0.0714;0.0714;0.1071;0.0714;0.4993;0.6752;2;3;0.0804;0.5336;0.7170;Qwen3-4B
ID_0144465590218939;0.3930;0.3881;0.4000;0.4000;0.3000;0.1000;0.2000;0.3000;0.1270;0.2273;0.7440;5;7;0.1747;0.2818;0.7452;Qwen3-4B
ID_0932900035896817;0.1370;0.1584;0.0000;0.2000;0.2000;0.0000;0.0952;0.1905;0.0163;0.1387;0.7650;2;4;0.0348;0.1772;0.7639;Qwen3-4B
ID_0041995572099705;0.0000;0.1054;0.0000;0.0000;0.1500;0.0000;0.0000;0.1000;0.0000;0.0541;0.7852;0;4;0.0131;0.2349;0.7710;Qwen3-4B
ID_0061106995455595;0.0000;0.0490;0.0000;0.0000;0.0500;0.0000;0.0000;0.0385;0.0000;0.0021;0.8189;0;2;0.0027;0.0348;0.8006;Qwen3-4B
ID_0128404227626176;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0020;0.7074;0;0;0.0000;0.0040;0.6181;Qwen3-4B
ID_0161925591909696;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0084;0.7510;0;0;0.0000;0.0084;0.7054;Qwen3-4B
ID_0174325304693036;0.0946;0.1782;0.2000;0.3000;0.3500;0.0208;0.0625;0.1458;0.0163;0.0991;0.7381;3;7;0.0482;0.1809;0.7414;Qwen3-4B
ID_0189095897739979;0.0000;0.2426;0.0000;0.0000;0.3500;0.0000;0.0000;0.2059;0.0000;0.0079;0.8370;0;7;0.0475;0.1389;0.8071;Qwen3-4B
ID_0229339143607870;0.2451;0.2063;0.0000;0.4000;0.3000;0.0000;0.1143;0.1714;0.0351;0.3193;0.7773;4;6;0.0536;0.4202;0.7666;Qwen3-4B
ID_0278717765065500;0.0000;0.0480;0.0000;0.0000;0.1000;0.0000;0.0000;0.0909;0.0000;0.1094;0.7772;0;2;0.0103;0.2392;0.7675;Qwen3-4B
