Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_9350794843721516;1;quimica;professores de química (rej);0.728;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;2;ensino professorado;professores de química (rej);0.643;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;3;formacao de professores;professores de química (rej);0.638;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;4;licenciatura em quimica;professores de química (rej);0.820;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;5;cursos de quimica;professores de química (rej);0.883;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;6;divulgacao;adsorção em diferentes (rej);0.544;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;7;legislacao;contribuição dos constituintes (rej);0.729;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;8;reacicao;effective cation exchange (rej);0.610;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;9;ensino de quimica;professores de química;0.942;1;match válido;Qwen3.5-2B
ID_9350794843721516;10;legislador;contribuição dos constituintes (rej);0.727;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;11;legisla;contribuição dos constituintes (rej);0.670;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;12;legis;functionalized formic lignin (rej);0.507;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;13;quimica ambiental;natural organic compounds (rej);0.649;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;14;quimica educacional;professores de química (rej);0.843;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;15;didutica;argila de solos (rej);0.387;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;16;quimica rondoniana;professores de química (rej);0.555;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;17;rondonia;argila de solos (rej);0.390;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;18;rondon;remoção do corante (rej);0.328;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;19;quimica fundamentalista;professores de química (rej);0.655;0;sem match válido;Qwen3.5-2B
ID_9350794843721516;20;quimica nova;professores de química (rej);0.656;0;sem match válido;Qwen3.5-2B
ID_8752453650114092;1;flavonoides;antioxidant (rej);0.542;0;sem match válido;Qwen3.5-2B
ID_8752453650114092;2;guarana;guanosine;0.889;3;match válido;Qwen3.5-2B
ID_8752453650114092;3;selenium;selenium;1.000;3;match válido;Qwen3.5-2B
ID_8752453650114092;4;seleno-organicos;selenium (rej);0.842;0;sem match válido;Qwen3.5-2B
ID_8752453650114092;5;antioxidantes;antioxidant;0.987;2;match válido;Qwen3.5-2B
ID_8752453650114092;6;estresse oxidativo;oxidative stress;0.979;3;match válido;Qwen3.5-2B
ID_8752453650114092;7;glutamatergico;glutamate uptake;0.840;2;match válido;Qwen3.5-2B
ID_8752453650114092;8;glutamato;glutamate uptake (rej);0.838;0;sem match válido;Qwen3.5-2B
ID_8752453650114092;9;hiperexcitabilidade;oxidative stress (rej);0.351;0;sem match válido;Qwen3.5-2B
ID_8752453650114092;10;lipid peroxidacao;lipid peroxidation;0.969;2;match válido;Qwen3.5-2B
ID_8752453650114092;11;peroxidacao oxidativa;glutathione peroxidase;0.785;2;match válido;Qwen3.5-2B
ID_8752453650114092;12;neuroprotecao;central nervous system (rej);0.559;0;sem match válido;Qwen3.5-2B
ID_8752453650114092;13;metabolismo do glutamato;glutamate uptake (rej);0.835;0;sem match válido;Qwen3.5-2B
ID_8752453650114092;14;excitotoxicidade;toxicological study (rej);0.706;0;sem match válido;Qwen3.5-2B
ID_8752453650114092;15;catalase;organotellurium compound (rej);0.447;0;sem match válido;Qwen3.5-2B
ID_8752453650114092;16;superoxido dismutase;superoxide dismutase gene;0.884;1;match válido;Qwen3.5-2B
ID_8752453650114092;17;sulfidos;selenium (rej);0.487;0;sem match válido;Qwen3.5-2B
ID_8752453650114092;18;nitroprusidio;organotellurium compound (rej);0.531;0;sem match válido;Qwen3.5-2B
ID_8752453650114092;19;estresse oxidativo cerebral;oxidative stress (rej);0.764;0;sem match válido;Qwen3.5-2B
ID_8752453650114092;20;estresse oxidativo renal;oxidative stress (rej);0.687;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;1;organic chemistry;δ-aminolevulinic acid (rej);0.586;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;2;essential oils;antioxidant (rej);0.458;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;3;Croton campestris;bal (rej);0.374;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;4;antimicrobial compounds;thiobarbituric acid reactive (rej);0.576;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;5;botanical medicine;valeriana officinalis (rej);0.659;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;6;natural substances;δ-aminolevulinic acid (rej);0.521;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;7;antibacterial modulation;thiobarbituric acid reactive (rej);0.478;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;8;cancer therapy;neurotoxicity (rej);0.269;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;9;herbal compounds;valeriana officinalis (rej);0.593;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;10;catalase activity;-aminolevulinate dehydratase activity (rej);0.543;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;11;lipid peroxidation;lipid peroxidation;1.000;3;match válido;Qwen3.5-2B
ID_3935055744673018;12;pharmacokinomics;δ-aminolevulinic acid (rej);0.537;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;13;neuroprotection;neurotoxicity (rej);0.722;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;14;oxidative stress;oxidative stress;1.000;2;match válido;Qwen3.5-2B
ID_3935055744673018;15;enzymatic inhibition;-aminolevulinate dehydratase activity (rej);0.602;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;16;methylmercury toxicity;methylmercury;0.869;3;match válido;Qwen3.5-2B
ID_3935055744673018;17;sequestration agents;selenium compounds (rej);0.695;0;sem match válido;Qwen3.5-2B
ID_3935055744673018;18;organoselenides;organoselenium;0.897;3;match válido;Qwen3.5-2B
