Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_9350794843721516;0.1053;0.1151;0.2000;0.2000;0.1500;0.0333;0.0667;0.1000;0.0278;0.3279;0.5935;3;4;0.0361;0.3934;0.6131;Qwen3.5-4B
ID_8752453650114092;0.3250;0.3689;0.4000;0.3000;0.3000;0.1000;0.1500;0.3000;0.1083;0.2195;0.6378;3;6;0.1534;0.2509;0.6266;Qwen3.5-4B
ID_3935055744673018;0.6589;0.4648;1.0000;0.7000;0.4000;0.1190;0.1667;0.1905;0.1554;0.1748;0.6522;7;8;0.1727;0.1979;0.6587;Qwen3.5-4B
ID_1345781867765758;0.3459;0.3068;0.4000;0.3000;0.2000;0.1053;0.1579;0.2105;0.0912;0.8085;0.6863;4;6;0.1018;0.8149;0.6838;Qwen3.5-4B
ID_7710344461864924;0.5784;0.5668;0.6000;0.5000;0.5500;0.0600;0.1000;0.2200;0.0833;0.1907;0.5742;6;12;0.1501;0.3157;0.6508;Qwen3.5-4B
ID_1840336983035010;0.3572;0.2819;0.2000;0.4000;0.2500;0.0385;0.1538;0.1923;0.0832;0.3306;0.7129;4;7;0.0933;0.3952;0.7141;Qwen3.5-4B
ID_3051627641386529;0.4972;0.5551;0.4000;0.3000;0.3000;0.1667;0.2500;0.5000;0.1917;0.4012;0.6585;4;7;0.2845;0.4924;0.6943;Qwen3.5-4B
ID_0218004426204544;0.2675;0.2408;0.4000;0.3000;0.2500;0.0556;0.0833;0.1389;0.0556;0.1818;0.6713;3;5;0.0702;0.3047;0.7094;Qwen3.5-4B
ID_2774467864626548;0.2543;0.2282;0.2000;0.1000;0.1000;0.0476;0.0476;0.0952;0.0476;0.3404;0.6352;4;6;0.0549;0.4080;0.7417;Qwen3.5-4B
ID_0807993828734491;0.4974;0.3868;0.6000;0.4000;0.3000;0.0938;0.1250;0.1875;0.1076;0.5158;0.6870;4;6;0.1257;0.5361;0.6982;Qwen3.5-4B
