Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_9350794843721516;1;Quimica;professores de química (rej);0.691;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;2;Formacao de professores;professores de química (rej);0.604;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;3;Ensino de Quimica;professores de química;0.888;1;match válido;Qwen3-1.7B
ID_9350794843721516;4;Mineralogia;mineralogy;0.975;2;match válido;Qwen3-1.7B
ID_9350794843721516;5;Adsorcao;adsorção em diferentes;0.816;1;match válido;Qwen3-1.7B
ID_9350794843721516;6;Dissolucao seletiva;selective dissolution;0.833;3;match válido;Qwen3-1.7B
ID_9350794843721516;7;TGA;reativo azul 5g (rej);0.330;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;8;FTIR;argila de solos (rej);0.606;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;9;Cationes;remoção do corante (rej);0.442;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;10;Ferro;free iron (rej);0.747;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;11;Argilominerais;mineralogy (rej);0.617;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;12;Magnetita;specific surface (rej);0.403;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;13;Maghemita;argila de solos (rej);0.438;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;14;Nanoparticulas;low cristalinity aluminosilicate (rej);0.455;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;15;Biocompatibilidade;effective cation exchange (rej);0.417;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;16;Cobre;argila de solos (rej);0.639;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;17;Cromo;occlusion (rej);0.437;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;18;Cobertura;diferentes materiais (rej);0.526;0;sem match válido;Qwen3-1.7B
ID_9350794843721516;19;Tecnologia de materiais;diferentes materiais;0.810;3;match válido;Qwen3-1.7B
ID_9350794843721516;20;Fosforo;predominant mineral (rej);0.610;0;sem match válido;Qwen3-1.7B
ID_6284168579617066;1;};dft (rej);0.489;0;sem match válido;Qwen3-1.7B
ID_6284168579617066;2;{;dft (rej);0.516;0;sem match válido;Qwen3-1.7B
ID_6284168579617066;3;"titulo"": ""Doping of Mn in GaN: A First-Principles Study";surfaces of anatase (rej);0.285;0;sem match válido;Qwen3-1.7B
ID_6284168579617066;4;"keywords"":";theoretical analysis (rej);0.223;0;sem match válido;Qwen3-1.7B
ID_6284168579617066;5;as the Mn atoms are located in the Ga sites.;titanium oxide (rej);0.363;0;sem match válido;Qwen3-1.7B
ID_6284168579617066;6;which is a well;surface (rej);0.265;0;sem match válido;Qwen3-1.7B
ID_6284168579617066;7;;;;;;Qwen3-1.7B
ID_6284168579617066;8;;;;;;Qwen3-1.7B
ID_6284168579617066;9;;;;;;Qwen3-1.7B
ID_6284168579617066;10;;;;;;Qwen3-1.7B
ID_6284168579617066;11;;;;;;Qwen3-1.7B
ID_6284168579617066;12;;;;;;Qwen3-1.7B
ID_6284168579617066;13;;;;;;Qwen3-1.7B
ID_6284168579617066;14;;;;;;Qwen3-1.7B
ID_6284168579617066;15;;;;;;Qwen3-1.7B
ID_6284168579617066;16;;;;;;Qwen3-1.7B
ID_6284168579617066;17;;;;;;Qwen3-1.7B
ID_6284168579617066;18;;;;;;Qwen3-1.7B
ID_6284168579617066;19;;;;;;Qwen3-1.7B
ID_6284168579617066;20;;;;;;Qwen3-1.7B
ID_9848311210578810;1;scanning electron microscopy;scanning electron microscopy;1.000;3;match válido;Qwen3-1.7B
ID_9848311210578810;2;};relation (rej);0.598;0;sem match válido;Qwen3-1.7B
ID_9848311210578810;3;{;relation (rej);0.635;0;sem match válido;Qwen3-1.7B
ID_9848311210578810;4;"titulo"": ""Optical properties of ZnO and its doped with different metal ions";optical properties (rej);0.575;0;sem match válido;Qwen3-1.7B
ID_9848311210578810;5;"keywords"":";synthesis and characterization (rej);0.347;0;sem match válido;Qwen3-1.7B
