Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_9350794843721516;0.1469;0.1381;0.2000;0.2000;0.1500;0.0333;0.0667;0.1000;0.0194;0.3443;0.6511;4;5;0.0247;0.5082;0.6492;Qwen3-1.7B
ID_6284168579617066;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0898;0.7251;0;0;0.0000;0.0898;0.7251;Qwen3-1.7B
ID_9848311210578810;0.2201;0.1420;0.2000;0.1000;0.0500;0.0217;0.0217;0.0217;0.0217;0.0895;0.6980;1;1;0.0217;0.0895;0.6980;Qwen3-1.7B
ID_0144465590218939;0.0340;0.0271;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0091;0.5023;1;1;0.0000;0.0091;0.5023;Qwen3-1.7B
ID_0174325304693036;0.1732;0.1209;0.2000;0.2000;0.1000;0.0208;0.0417;0.0417;0.0122;0.0545;0.7255;2;2;0.0122;0.0545;0.7255;Qwen3-1.7B
ID_0229339143607870;0.0595;0.0904;0.2000;0.1000;0.1500;0.0286;0.0286;0.0857;0.0143;0.0504;0.7385;1;3;0.0248;0.2269;0.7542;Qwen3-1.7B
ID_0535860239259102;0.4561;0.4640;0.8000;0.4000;0.3500;0.1739;0.1739;0.3043;0.1739;0.3832;0.6203;5;9;0.2324;0.4393;0.5979;Qwen3-1.7B
ID_0848413770343284;0.0982;0.0634;0.0000;0.1000;0.0500;0.0000;0.0435;0.0435;0.0072;0.0456;0.6331;2;2;0.0072;0.0456;0.6331;Qwen3-1.7B
ID_1041565102315246;0.6755;0.5191;0.8000;0.7000;0.5000;0.1481;0.2593;0.3704;0.2189;0.5030;0.6398;8;11;0.2762;0.5606;0.6154;Qwen3-1.7B
ID_1305553577433058;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0038;0.6701;0;0;0.0000;0.0338;0.7166;Qwen3-1.7B
ID_1351748125964309;0.1354;0.1012;0.2000;0.1000;0.0500;0.0400;0.0400;0.0400;0.0400;0.1215;0.7125;1;1;0.0400;0.1215;0.7125;Qwen3-1.7B
ID_1827829018668226;0.0663;0.1742;0.0000;0.1000;0.2500;0.0000;0.0333;0.1667;0.0037;0.2555;0.8090;1;5;0.0346;0.3577;0.7794;Qwen3-1.7B
ID_1885766127325722;0.0000;0.0214;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1675;0.6871;0;3;0.0000;0.3971;0.6688;Qwen3-1.7B
ID_2129963760543898;0.2431;0.1952;0.4000;0.3000;0.2000;0.0800;0.1200;0.1600;0.0680;0.6092;0.6234;3;4;0.0780;0.6431;0.6654;Qwen3-1.7B
ID_2220699289355930;0.0131;0.0918;0.0000;0.0000;0.1000;0.0000;0.0000;0.0833;0.0000;0.0536;0.7597;1;4;0.0069;0.1652;0.7706;Qwen3-1.7B
ID_2324159515825927;0.2318;0.2220;0.2000;0.3000;0.2500;0.0250;0.0750;0.1250;0.0209;0.1955;0.7374;3;5;0.0366;0.3416;0.7283;Qwen3-1.7B
ID_2627414712422817;0.2278;0.2230;0.2000;0.3000;0.2500;0.0357;0.1071;0.1786;0.0286;0.2850;0.5591;3;5;0.0486;0.3472;0.5526;Qwen3-1.7B
ID_2653769170795641;0.0000;0.0395;0.0000;0.0000;0.0500;0.0000;0.0000;0.0385;0.0000;0.1141;0.7490;0;1;0.0023;0.1902;0.7303;Qwen3-1.7B
ID_3091742095568302;0.0477;0.0340;0.2000;0.1000;0.0500;0.0312;0.0312;0.0312;0.0063;0.0414;0.7680;2;2;0.0063;0.0414;0.7680;Qwen3-1.7B
ID_3387018530825694;0.0000;0.0564;0.0000;0.0000;0.1000;0.0000;0.0000;0.1053;0.0000;0.0103;0.7861;0;2;0.0080;0.3041;0.8163;Qwen3-1.7B
ID_3837157956819433;0.2607;0.2372;0.4000;0.2000;0.2000;0.0769;0.0769;0.1538;0.0577;0.4835;0.7302;2;4;0.0739;0.5526;0.7097;Qwen3-1.7B
ID_3919711591553904;0.2368;0.1528;0.0000;0.4000;0.2000;0.0000;0.0952;0.0952;0.0282;0.4538;0.6278;4;4;0.0282;0.4538;0.6278;Qwen3-1.7B
ID_4765080870408661;0.3984;0.2571;0.4000;0.6000;0.3000;0.0541;0.1622;0.1622;0.0739;0.0440;0.7481;6;6;0.0739;0.0692;0.6275;Qwen3-1.7B
ID_5465930712415985;0.0570;0.1807;0.0000;0.2000;0.3500;0.0000;0.0571;0.2000;0.0093;0.1983;0.7685;2;7;0.0536;0.2479;0.6969;Qwen3-1.7B
ID_5871402136758674;0.1183;0.1850;0.0000;0.2000;0.2500;0.0000;0.0870;0.2174;0.0169;0.6000;0.8042;2;5;0.0479;0.6364;0.7047;Qwen3-1.7B
ID_6286838179330044;0.0694;0.1499;0.0000;0.1000;0.1500;0.0000;0.0370;0.1111;0.0046;0.2314;0.6141;1;3;0.0187;0.2562;0.6306;Qwen3-1.7B
ID_6785547194105600;0.1389;0.1064;0.2000;0.1000;0.0500;0.0455;0.0455;0.0455;0.0227;0.1292;0.7011;1;1;0.0227;0.1292;0.7011;Qwen3-1.7B
ID_7527179767450432;0.0979;0.0787;0.2000;0.1000;0.0500;0.0417;0.0417;0.0417;0.0417;0.2702;0.6286;1;1;0.0417;0.2702;0.6286;Qwen3-1.7B
