Autor;Rank;Tag_Predita;Melhor_Match_Gabarito;Similaridade;Peso;Match_Status;Modelo
ID_9350794843721516;1;Ensino de Quimica;professores de química;0.888;1;match válido;Qwen3.5-4B
ID_9350794843721516;2;Formacao de Professores;professores de química (rej);0.670;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;3;Didatica;remoção do corante (rej);0.414;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;4;Pibid;corante reativo azul (rej);0.403;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;5;Mineralogia;mineralogy;0.975;2;match válido;Qwen3.5-4B
ID_9350794843721516;6;Argilas;argila de solos (rej);0.721;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;7;Solos;adsorção em diferentes (rej);0.421;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;8;Toposequencia;remoção do corante (rej);0.603;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;9;Area Superficial Especifica;specific surface (rej);0.702;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;10;Capacidade de Troca Cationica;effective cation exchange (rej);0.578;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;11;Oxidos de Ferro;free iron (rej);0.700;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;12;Maghemita;argila de solos (rej);0.438;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;13;Magnetita;specific surface (rej);0.403;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;14;Nanoparticulas;low cristalinity aluminosilicate (rej);0.455;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;15;Adsorcao;adsorção em diferentes;0.816;1;match válido;Qwen3.5-4B
ID_9350794843721516;16;Metais Pesados;remoção do corante (rej);0.651;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;17;Lignina;functionalized formic lignin (rej);0.700;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;18;Biossorcao;gibbsite and organic carbon (rej);0.428;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;19;Corantes;corante reativo azul (rej);0.601;0;sem match válido;Qwen3.5-4B
ID_9350794843721516;20;Carboximetilada;diferentes materiais (rej);0.498;0;sem match válido;Qwen3.5-4B
ID_6284168579617066;1;DFT;dft;0.962;3;match válido;Qwen3.5-4B
ID_6284168579617066;2;B3LYP;dft (rej);0.376;0;sem match válido;Qwen3.5-4B
ID_6284168579617066;3;photoluminescence;photoluminescence;1.000;3;match válido;Qwen3.5-4B
ID_6284168579617066;4;nanoparticles;semiconducting surfaces (rej);0.524;0;sem match válido;Qwen3.5-4B
ID_6284168579617066;5;TiO2;titanium oxide (rej);0.568;0;sem match válido;Qwen3.5-4B
ID_6284168579617066;6;ZnS;dft (rej);0.537;0;sem match válido;Qwen3.5-4B
ID_6284168579617066;7;ZnO;dft (rej);0.472;0;sem match válido;Qwen3.5-4B
ID_6284168579617066;8;CdSe;dft (rej);0.589;0;sem match válido;Qwen3.5-4B
ID_6284168579617066;9;CdS;dft (rej);0.584;0;sem match válido;Qwen3.5-4B
ID_6284168579617066;10;CaTiO3;surfaces of anatase (rej);0.403;0;sem match válido;Qwen3.5-4B
ID_6284168579617066;11;BaZrO3;surface (rej);0.395;0;sem match válido;Qwen3.5-4B
ID_6284168579617066;12;SnO2;tin dioxide (rej);0.451;0;sem match válido;Qwen3.5-4B
ID_6284168579617066;13;GaN;dft (rej);0.414;0;sem match válido;Qwen3.5-4B
