Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_9350794843721516;0.0679;0.0529;0.2000;0.1000;0.0500;0.0333;0.0333;0.0333;0.0067;0.2623;0.6479;2;3;0.0067;0.5082;0.6394;Qwen3.5-4B
ID_6284168579617066;0.3301;0.2597;0.4000;0.2000;0.2000;0.0870;0.0870;0.1739;0.0725;0.2864;0.6422;2;4;0.0884;0.3301;0.7085;Qwen3.5-4B
ID_9848311210578810;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0367;0.6890;0;0;0.0000;0.0367;0.6890;Qwen3.5-4B
ID_0144465590218939;0.0848;0.1798;0.0000;0.1000;0.2000;0.0000;0.0500;0.2000;0.0063;0.1545;0.7942;2;5;0.0333;0.2000;0.8097;Qwen3.5-4B
ID_0174325304693036;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1342;0;0;0.0000;0.0000;0.1342;Qwen3.5-4B
ID_0229339143607870;0.3897;0.3227;0.6000;0.3000;0.2500;0.0857;0.0857;0.1429;0.0857;0.3529;0.7422;3;5;0.1028;0.3866;0.7500;Qwen3.5-4B
ID_0535860239259102;0.4458;0.4449;0.6000;0.6000;0.4500;0.1304;0.2609;0.3913;0.2055;0.4486;0.7006;7;10;0.2775;0.4860;0.6388;Qwen3.5-4B
ID_0848413770343284;0.0734;0.1254;0.0000;0.1000;0.1500;0.0000;0.0435;0.1304;0.0062;0.0705;0.7321;1;3;0.0250;0.1245;0.7237;Qwen3.5-4B
ID_1041565102315246;0.1009;0.1892;0.0000;0.2000;0.3000;0.0000;0.0741;0.2222;0.0146;0.4424;0.7729;2;6;0.0584;0.5576;0.6859;Qwen3.5-4B
ID_1305553577433058;0.2916;0.3095;0.2000;0.4000;0.4000;0.0192;0.0769;0.1538;0.0242;0.2382;0.7130;4;8;0.0574;0.2739;0.7263;Qwen3.5-4B
ID_1351748125964309;0.3078;0.2301;0.6000;0.4000;0.2000;0.1200;0.1600;0.1600;0.0733;0.2850;0.5092;4;4;0.0733;0.2944;0.6161;Qwen3.5-4B
ID_1827829018668226;0.4876;0.4860;0.4000;0.5000;0.5000;0.0667;0.1667;0.3333;0.1190;0.4526;0.6658;5;10;0.1999;0.4964;0.6916;Qwen3.5-4B
ID_1885766127325722;0.0186;0.0214;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2201;0.7640;1;2;0.0000;0.2488;0.7671;Qwen3.5-4B
ID_2129963760543898;0.6618;0.4946;0.8000;0.6000;0.4000;0.1600;0.2400;0.3200;0.1963;0.7292;0.7246;6;9;0.2446;0.7538;0.6673;Qwen3.5-4B
ID_2220699289355930;0.3073;0.3706;0.2000;0.3000;0.3500;0.0417;0.1250;0.2917;0.0486;0.4420;0.7015;3;8;0.1112;0.6339;0.7065;Qwen3.5-4B
ID_2324159515825927;0.6372;0.5224;0.8000;0.5000;0.4000;0.1000;0.1250;0.2000;0.1179;0.3124;0.5898;5;8;0.1572;0.4000;0.5502;Qwen3.5-4B
ID_2627414712422817;0.0365;0.0753;0.2000;0.1000;0.1000;0.0357;0.0357;0.0714;0.0071;0.1554;0.7120;1;3;0.0131;0.2280;0.7288;Qwen3.5-4B
ID_2653769170795641;0.0951;0.0711;0.0000;0.2000;0.1000;0.0000;0.0769;0.0769;0.0132;0.0598;0.7963;2;2;0.0132;0.1739;0.7937;Qwen3.5-4B
ID_3091742095568302;0.1098;0.1322;0.0000;0.2000;0.2000;0.0000;0.0625;0.1250;0.0141;0.0552;0.7070;2;4;0.0273;0.1034;0.6989;Qwen3.5-4B
ID_3387018530825694;0.2607;0.2032;0.4000;0.2000;0.1000;0.1053;0.1053;0.1053;0.0789;0.4278;0.5800;2;2;0.0789;0.4433;0.6220;Qwen3.5-4B
ID_3837157956819433;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1342;0;0;0.0000;0.0000;0.1342;Qwen3.5-4B
ID_3919711591553904;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.6413;0;0;0.0000;0.0000;0.6413;Qwen3.5-4B
ID_4765080870408661;0.5110;0.3797;0.6000;0.4000;0.3000;0.0811;0.1081;0.1622;0.0773;0.0314;0.6713;5;7;0.0976;0.1258;0.7310;Qwen3.5-4B
ID_5465930712415985;0.2837;0.2733;0.2000;0.2000;0.2500;0.0286;0.0571;0.1429;0.0343;0.3884;0.6315;2;5;0.0586;0.4463;0.6459;Qwen3.5-4B
ID_5871402136758674;0.0372;0.1559;0.0000;0.1000;0.2000;0.0000;0.0435;0.1739;0.0062;0.4545;0.7838;1;4;0.0344;0.7273;0.7435;Qwen3.5-4B
ID_6286838179330044;0.4690;0.3796;0.6000;0.3000;0.1500;0.1111;0.1111;0.1111;0.1111;0.1983;0.0971;3;3;0.1111;0.1983;0.0971;Qwen3.5-4B
ID_6785547194105600;0.1596;0.2234;0.0000;0.3000;0.3000;0.0000;0.1364;0.2727;0.0294;0.6986;0.7402;3;6;0.0708;0.7368;0.6897;Qwen3.5-4B
ID_7527179767450432;0.0295;0.1366;0.0000;0.1000;0.2500;0.0000;0.0417;0.2083;0.0046;0.2427;0.7275;1;6;0.0464;0.4871;0.7519;Qwen3.5-4B
ID_8049184468038869;0.0000;0.0663;0.0000;0.0000;0.1000;0.0000;0.0000;0.0417;0.0000;0.0000;0.7436;0;2;0.0034;0.0655;0.7780;Qwen3.5-4B
ID_8237569228020224;0.1128;0.1013;0.2000;0.3000;0.1500;0.0625;0.1875;0.1875;0.0491;0.1143;0.7531;3;4;0.0491;0.2286;0.7597;Qwen3.5-4B
